,run_star_pe.py,generate_genome_star_index.py,run_star_se.py,pass1.py,star_genome.py,tastq_to_bam_HISAT.py,samtools_bam.py,hisat2.py,sort_bams.py,compare_reference_stringtie.py,map.py,bamindex.py,startPE.py,expressbam.py,sortedbam_to_rmdup.py,sortbam.py,fetch_unique_stringtie.py,starindex.py,starSE.py,sort_index_bams.py,RNA_SeqC.py,pass2.py
run_star_pe.py,I,D,VS,SS,SS,SS,D,D,SS,D,SS,S,S,D,SS,D,D,D,SS,D,S,SS
generate_genome_star_index.py,D,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
run_star_se.py,VS,D,I,SS,S,SS,D,SS,D,D,SS,D,SS,D,D,D,D,D,S,D,SS,SS
pass1.py,SS,D,SS,I,SS,SS,D,SS,D,D,SS,D,S,D,D,D,D,D,SS,D,D,VS
star_genome.py,SS,D,S,SS,I,SS,D,SS,D,D,D,SS,D,D,D,D,D,SS,SS,SS,SS,D
tastq_to_bam_HISAT.py,SS,D,SS,SS,SS,I,D,SS,D,D,D,SS,D,D,D,SS,D,SS,D,SS,D,SS
samtools_bam.py,D,D,D,D,D,D,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
hisat2.py,D,D,SS,SS,SS,SS,D,I,D,D,SS,D,D,D,D,D,D,D,SS,D,SS,SS
sort_bams.py,SS,D,D,D,D,D,D,D,I,D,D,D,D,D,SS,S,D,D,D,D,D,D
compare_reference_stringtie.py,D,D,D,D,D,D,D,D,D,I,D,D,D,D,D,D,D,D,D,D,D,D
map.py,SS,D,SS,SS,D,D,D,SS,D,D,I,D,SS,D,D,D,D,D,SS,D,SS,SS
bamindex.py,S,D,D,D,SS,SS,D,D,D,D,D,I,D,D,D,D,D,SS,D,SS,D,D
startPE.py,S,D,SS,S,D,D,D,D,D,D,SS,D,I,D,D,D,D,D,SS,D,D,S
expressbam.py,D,D,D,D,D,D,D,D,D,D,D,D,D,I,D,D,D,D,D,D,D,D
sortedbam_to_rmdup.py,SS,D,D,D,D,D,D,D,SS,D,D,D,D,D,I,S,D,D,D,D,D,D
sortbam.py,D,D,D,D,D,SS,D,D,S,D,D,D,D,D,S,I,D,D,D,D,D,D
fetch_unique_stringtie.py,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,I,D,D,D,D,D
starindex.py,D,D,D,D,SS,SS,D,D,D,D,D,SS,D,D,D,D,D,I,D,SS,D,D
starSE.py,SS,D,S,SS,SS,D,D,SS,D,D,SS,D,SS,D,D,D,D,D,I,D,SS,SS
sort_index_bams.py,D,D,D,D,SS,SS,D,D,D,D,D,SS,D,D,D,D,D,SS,D,I,D,D
RNA_SeqC.py,S,D,SS,D,SS,D,D,SS,D,D,SS,D,D,D,D,D,D,D,SS,D,I,SS
pass2.py,SS,D,SS,VS,D,SS,D,SS,D,D,SS,D,S,D,D,D,D,D,SS,D,SS,I
