,sampleReads.py,cutadapt 2.py,trim_galore_pe.py,trimgalorePE.py,cutadapt.py,trimgaloreSE.py,fastp_trimming_SE.py,fastp_trimming_PE.py,merge_trimmed_PE.py,merge_trimmed_SE.py
sampleReads.py,I,SS,D,D,D,D,D,D,D,D
cutadapt 2.py,SS,I,SS,SS,SS,SS,SS,SS,SS,SS
trim_galore_pe.py,D,SS,I,VS,SS,SS,SS,S,D,D
trimgalorePE.py,D,SS,VS,I,SS,SS,SS,S,D,D
cutadapt.py,D,SS,SS,SS,I,S,S,SS,D,D
trimgaloreSE.py,D,SS,SS,SS,S,I,SS,SS,SS,SS
fastp_trimming_SE.py,D,SS,SS,SS,S,SS,I,SS,SS,D
fastp_trimming_PE.py,D,SS,S,S,SS,SS,SS,I,D,D
merge_trimmed_PE.py,D,SS,D,D,D,SS,SS,D,I,D
merge_trimmed_SE.py,D,SS,D,D,D,SS,D,D,SS,I
