Process A,Process B,Raw_rules_no_white_spaces_cosine
map,fastqctrimmed,0.1237991212534372
map,expressbam,0.2111746005280337
map,salmonSE,0.1399128838025687
map,fastqScreen,0.0809438432746811
map,run_star_se,0.1617509459592064
map,fastqc,0.1127784751063721
map,trim_fasq_fastqc,0.268929247551049
map,picard_rna_seq,0.0403179681384738
map,salmon_index_extended,0.013765096567279
map,fastp_trimming_SE,0.090616869862496
map,starindex,0.1779109908209369
map,DRIMSeq,0.0223998494808185
map,samtools_flagstat,0.1061345351060582
map,salmon_quant_se,0.1261772857245232
map,feature_counts,0.0504563907498302
map,RNA_SeqC,0.1035487001286015
map,fastqc 6,0.0984256541534583
map,star_genome,0.1316529992936694
map,edgeR,0.0214021334101757
map,startPE,0.1948628345901598
map,tastq_to_bam_HISAT,0.1948994893537237
map,fastqc 5,0.1394285670519205
map,multiqc 2,0.1713751348240902
map,kallistoQuant,0.1028013265053972
map,salmon_index,0.0162172277366454
map,trim_galore_pe,0.0316713975185574
map,samlon_quant,0.1203892591813062
map,sortedbam_to_counts,0.198001402322566
map,featureCounts 2,0.0982873162743827
map,fastqc 4,0.0214068277201243
map,multiqc 3,0.0074065949623824
map,merge_trimmed_SE,0.107640510377601
map,trimgaloreSE,0.1248784558770957
map,fastQCtrimmed 2,0.1258583639600726
map,fastqcrim,0.0169884641724954
map,sortedbam_to_rmdup,0.1883001763941246
map,sort_index_bams,0.110357825396119
map,fastqc 3,0.1528203344115097
map,fastqc 2,0.1324306700146862
map,rsem_norm,0.0540008496704145
map,featureCounts,0.0705349039953483
map,merge_trimmed_PE,0.126687397403902
map,trimgalorePE,0.106004894139383
map,compare_reference_stringtie,0.0656228211541012
map,hisat2,0.1422765684018444
map,counts_matrix,0.107262981563546
map,sortbam,0.1734106627762558
map,starSE,0.23206504736968
map,fetch_unique_stringtie,0.0688781711619749
map,bigwig,0.2383038107618463
map,cutadapt 2,0.0472677588258424
map,cutadapt,0.1277381063626999
map,MultiQC,0.0250551106883998
map,salmon_quant_pe,0.1646021361815277
map,tximeta,0.0476600820794342
map,salmon_quant,0.1239544624214938
map,sort_bams,0.1200243302629994
map,mark_dups,0.0951238378237336
map,fastp_trimming_PE,0.0709974501562747
map,salmonPE,0.126596211240982
map,samtools_bam,0.1548156043212997
map,bamindex,0.2014439252399171
map,generate_genome_star_index,0.0930860169977111
