Process A,Process B,Similarity
map,fastqctrimmed,0.165032679738562
map,expressbam,0.2339285714285713
map,salmonSE,0.215443279313632
map,fastqScreen,0.1589285714285714
map,run_star_se,0.2114695340501792
map,fastqc,0.1538461538461538
map,trim_fasq_fastqc,0.0917519799111454
map,picard_rna_seq,0.1857142857142857
map,salmon_index_extended,0.1761978361669243
map,fastp_trimming_SE,0.1990566037735849
map,starindex,0.2357142857142857
map,DRIMSeq,0.1908127208480565
map,samtools_flagstat,0.1928571428571428
map,salmon_quant_se,0.1982507288629738
map,feature_counts,0.2105263157894736
map,RNA_SeqC,0.1589285714285714
map,fastqc 6,0.1928571428571428
map,star_genome,0.195054945054945
map,edgeR,0.196588868940754
map,startPE,0.188911704312115
map,tastq_to_bam_HISAT,0.1231033495562553
map,fastqc 5,0.1803571428571428
map,multiqc 2,0.2196428571428571
map,kallistoQuant,0.1642857142857142
map,salmon_index,0.1535714285714285
map,trim_galore_pe,0.15
map,samlon_quant,0.2303571428571428
map,sortedbam_to_counts,0.1450119986287281
map,featureCounts 2,0.1624999999999999
map,fastqc 4,0.1946428571428571
map,multiqc 3,0.2142857142857143
map,merge_trimmed_SE,0.2214285714285714
map,trimgaloreSE,0.1869300911854103
map,fastQCtrimmed 2,0.2017857142857142
map,fastqcrim,0.1839285714285714
map,sortedbam_to_rmdup,0.1928657799274485
map,sort_index_bams,0.1892857142857142
map,fastqc 3,0.15
map,fastqc 2,0.2375
map,rsem_norm,0.1577235772357723
map,featureCounts,0.1946428571428571
map,merge_trimmed_PE,0.2022292993630573
map,trimgalorePE,0.2086330935251799
map,compare_reference_stringtie,0.1928571428571428
map,hisat2,0.1999999999999999
map,counts_matrix,0.1854354354354354
map,sortbam,0.1767857142857143
map,starSE,0.222318339100346
map,fetch_unique_stringtie,0.2089285714285714
map,bigwig,0.248015873015873
map,cutadapt 2,0.1813880126182965
map,cutadapt,0.2071428571428571
map,MultiQC,0.1464285714285714
map,salmon_quant_pe,0.199252801992528
map,tximeta,0.1910447761194029
map,salmon_quant,0.2044257112750263
map,sort_bams,0.1857142857142857
map,mark_dups,0.1353251318101933
map,fastp_trimming_PE,0.1872822299651567
map,salmonPE,0.1946706143597335
map,samtools_bam,0.1839285714285714
map,bamindex,0.1571428571428571
map,generate_genome_star_index,0.1803571428571428
map,run_star_pe,0.210239651416122
map,pass1,0.2104770813844715
map,fastqc_trimmed,0.2410714285714286
map,run_multiqc,0.175
map,sampleReads,0.2303571428571428
map,pass2,0.2034782608695652
fastqctrimmed,expressbam,0.2042483660130719
fastqctrimmed,salmonSE,0.3670162059103908
fastqctrimmed,fastqScreen,0.2107843137254902
fastqctrimmed,run_star_se,0.2473118279569892
fastqctrimmed,fastqc,0.8741830065359477
fastqctrimmed,trim_fasq_fastqc,0.0919451419741163
fastqctrimmed,picard_rna_seq,0.1977124183006535
fastqctrimmed,salmon_index_extended,0.2256568778979907
fastqctrimmed,fastp_trimming_SE,0.2311320754716981
fastqctrimmed,starindex,0.1683006535947712
fastqctrimmed,DRIMSeq,0.3100706713780918
fastqctrimmed,samtools_flagstat,0.196078431372549
fastqctrimmed,salmon_quant_se,0.2346938775510204
fastqctrimmed,feature_counts,0.2133712660028449
fastqctrimmed,RNA_SeqC,0.1895424836601307
fastqctrimmed,fastqc 6,0.218954248366013
fastqctrimmed,star_genome,0.1565934065934066
fastqctrimmed,edgeR,0.303411131059246
fastqctrimmed,startPE,0.2806297056810404
fastqctrimmed,tastq_to_bam_HISAT,0.1202404809619238
fastqctrimmed,fastqc 5,0.1895424836601307
fastqctrimmed,multiqc 2,0.2336601307189542
fastqctrimmed,kallistoQuant,0.1911764705882352
fastqctrimmed,salmon_index,0.2418300653594771
fastqctrimmed,trim_galore_pe,0.1977124183006535
fastqctrimmed,samlon_quant,0.2450980392156863
fastqctrimmed,sortedbam_to_counts,0.1398697291738087
fastqctrimmed,featureCounts 2,0.2450980392156863
fastqctrimmed,fastqc 4,0.2401960784313725
fastqctrimmed,multiqc 3,0.2712418300653595
fastqctrimmed,merge_trimmed_SE,0.2222222222222222
fastqctrimmed,trimgaloreSE,0.6048632218844985
fastqctrimmed,fastQCtrimmed 2,0.238562091503268
fastqctrimmed,fastqcrim,0.2598039215686274
fastqctrimmed,sortedbam_to_rmdup,0.1735187424425635
fastqctrimmed,sort_index_bams,0.2140522875816993
fastqctrimmed,fastqc 3,0.1977124183006535
fastqctrimmed,fastqc 2,0.2663398692810458
fastqctrimmed,rsem_norm,0.1365853658536585
fastqctrimmed,featureCounts,0.2205882352941176
fastqctrimmed,merge_trimmed_PE,0.1751592356687897
fastqctrimmed,trimgalorePE,0.4665981500513875
fastqctrimmed,compare_reference_stringtie,0.2630718954248365
fastqctrimmed,hisat2,0.2336601307189542
fastqctrimmed,counts_matrix,0.1981981981981981
fastqctrimmed,sortbam,0.2124183006535948
fastqctrimmed,starSE,0.3243944636678201
fastqctrimmed,fetch_unique_stringtie,0.261437908496732
fastqctrimmed,bigwig,0.4166666666666666
