Process A,Process B,Raw_rules_cosine
map,fastqctrimmed,0.124542834582746
map,expressbam,0.2115645537438039
map,salmonSE,0.1398925723820115
map,fastqScreen,0.0811601899587007
map,run_star_se,0.1617274642654581
map,fastqc,0.1197331118757279
map,trim_fasq_fastqc,0.2688664844159253
map,picard_rna_seq,0.0403121151020371
map,salmon_index_extended,0.0137630982619208
map,fastp_trimming_SE,0.0907569481045545
map,starindex,0.1778851631426125
map,DRIMSeq,0.0223965976518886
map,samtools_flagstat,0.1061191273528936
map,salmon_quant_se,0.1261589683269723
map,feature_counts,0.0504490658992198
map,RNA_SeqC,0.1035336677660392
map,fastqc 6,0.0984113655132646
map,star_genome,0.1316338869763217
map,edgeR,0.0213990264215933
map,startPE,0.1948345459802995
map,tastq_to_bam_HISAT,0.1948672496875442
map,fastqc 5,0.1399568384327233
map,multiqc 2,0.1713502559684635
map,kallistoQuant,0.1029940011558615
map,salmon_index,0.0162148734507221
map,trim_galore_pe,0.0316667997212914
map,samlon_quant,0.120371782042623
map,sortedbam_to_counts,0.1979726580808338
map,featureCounts 2,0.0982730477169631
map,fastqc 4,0.0214037200500599
map,multiqc 3,0.007405519732846
map,merge_trimmed_SE,0.1075501112287832
map,trimgaloreSE,0.1248603270331544
map,fastQCtrimmed 2,0.1262313175868944
map,fastqcrim,0.0169859979247057
map,sortedbam_to_rmdup,0.188241204526981
map,sort_index_bams,0.1103418045398371
map,fastqc 3,0.152798149191696
map,fastqc 2,0.132234212537681
map,rsem_norm,0.0539930102639332
map,featureCounts,0.0705246643086228
map,merge_trimmed_PE,0.1266348173021731
map,trimgalorePE,0.1059895052064452
map,compare_reference_stringtie,0.0656132945638231
map,hisat2,0.1422559138406796
map,counts_matrix,0.1072474099916541
map,sortbam,0.1733854884191487
map,starSE,0.2320313580435391
map,fetch_unique_stringtie,0.0688681719863189
map,bigwig,0.2382253109663778
map,cutadapt 2,0.0474547707951939
map,cutadapt,0.127359763156688
map,MultiQC,0.0250514733901291
map,salmon_quant_pe,0.1645782405750494
map,tximeta,0.0476531631742942
map,salmon_quant,0.1239364677154471
map,sort_bams,0.1200069061017442
map,mark_dups,0.0951100285145225
map,fastp_trimming_PE,0.0712798315822685
map,salmonPE,0.1265778330272138
map,samtools_bam,0.1547931294443426
map,bamindex,0.2088920392288786
map,generate_genome_star_index,0.0930725035228413
map,run_star_pe,0.1775676871943445
map,pass1,0.1262069721540063
map,fastqc_trimmed,0.1094155371528437
map,run_multiqc,0.0751332976068878
map,sampleReads,0.1569938822351725
map,pass2,0.1057632990189461
fastqctrimmed,expressbam,0.1569524636060649
fastqctrimmed,salmonSE,0.5991408282792605
fastqctrimmed,fastqScreen,0.1192406430206447
fastqctrimmed,run_star_se,0.1437051687770112
fastqctrimmed,fastqc,0.8828152003296619
fastqctrimmed,trim_fasq_fastqc,0.1922555318644128
fastqctrimmed,picard_rna_seq,0.0278329342005482
fastqctrimmed,salmon_index_extended,0.2163445700636211
fastqctrimmed,fastp_trimming_SE,0.0963603792237813
fastqctrimmed,starindex,0.0211051789444949
fastqctrimmed,DRIMSeq,0.3266195550631414
fastqctrimmed,samtools_flagstat,0.0934623522745687
fastqctrimmed,salmon_quant_se,0.218492561221616
fastqctrimmed,feature_counts,0.0387631962529575
fastqctrimmed,RNA_SeqC,0.0260419613222988
fastqctrimmed,fastqc 6,0.3878109767877734
fastqctrimmed,star_genome,0.0382467466181963
fastqctrimmed,edgeR,0.3022304720823296
fastqctrimmed,startPE,0.5612243692662738
fastqctrimmed,tastq_to_bam_HISAT,0.1298654982901806
fastqctrimmed,fastqc 5,0.5101292803365297
fastqctrimmed,multiqc 2,0.1834647334196216
fastqctrimmed,kallistoQuant,0.0982139882101445
