Process A,Process B,Similarity
map,fastqctrimmed,0.1582381729200652
map,expressbam,0.2334494773519163
map,salmonSE,0.2132963988919667
map,fastqScreen,0.1820615796519411
map,run_star_se,0.2121896162528216
map,fastqc,0.1587561374795417
map,trim_fasq_fastqc,0.0670714487432928
map,picard_rna_seq,0.1846689895470383
map,salmon_index_extended,0.1812577065351418
map,fastp_trimming_SE,0.1516778523489933
map,starindex,0.2369337979094077
map,DRIMSeq,0.1886151231945624
map,samtools_flagstat,0.1933797909407665
map,salmon_quant_se,0.1908045977011494
map,feature_counts,0.202200825309491
map,RNA_SeqC,0.1062717770034843
map,fastqc 6,0.1829268292682927
map,star_genome,0.1843267108167771
map,edgeR,0.1942758022549869
map,startPE,0.1892071952031978
map,tastq_to_bam_HISAT,0.0873864783047426
map,fastqc 5,0.1794425087108013
map,multiqc 2,0.186411149825784
map,kallistoQuant,0.1694402420574886
map,salmon_index,0.1656976744186046
map,trim_galore_pe,0.1375999999999999
map,samlon_quant,0.2229965156794425
map,sortedbam_to_counts,0.1134846461949266
map,featureCounts 2,0.1771956856702619
map,fastqc 4,0.1777003484320557
map,multiqc 3,0.1530612244897958
map,merge_trimmed_SE,0.1689895470383275
map,trimgaloreSE,0.1864904552129221
map,fastQCtrimmed 2,0.2003484320557491
map,fastqcrim,0.1707317073170732
map,sortedbam_to_rmdup,0.1370729649936736
map,sort_index_bams,0.181184668989547
map,fastqc 3,0.1443298969072165
map,fastqc 2,0.2090592334494773
map,rsem_norm,0.1770145310435931
map,featureCounts,0.186411149825784
map,merge_trimmed_PE,0.2009803921568627
map,trimgalorePE,0.2055888223552894
map,compare_reference_stringtie,0.181184668989547
map,hisat2,0.1846689895470383
map,counts_matrix,0.1412459720730398
map,sortbam,0.1759581881533101
map,starSE,0.2227805695142378
map,fetch_unique_stringtie,0.1846689895470383
map,bigwig,0.2483156881616939
map,cutadapt 2,0.1857506361323155
map,cutadapt,0.205574912891986
map,MultiQC,0.1393728222996515
map,salmon_quant_pe,0.1896722939424031
map,tximeta,0.1913875598086124
map,salmon_quant,0.1834061135371179
map,sort_bams,0.1846689895470383
map,mark_dups,0.1551459293394776
map,fastp_trimming_PE,0.150197628458498
map,salmonPE,0.1925018024513338
map,samtools_bam,0.1846689895470383
map,bamindex,0.1707317073170732
map,generate_genome_star_index,0.1655052264808362
map,run_star_pe,0.2082474226804124
map,pass1,0.1855273287143957
map,fastqc_trimmed,0.2229965156794425
map,run_multiqc,0.1445993031358885
map,sampleReads,0.1951219512195121
map,pass2,0.1793948126801152
fastqctrimmed,expressbam,0.2055464926590537
fastqctrimmed,salmonSE,0.3665743305632503
fastqctrimmed,fastqScreen,0.2222222222222222
fastqctrimmed,run_star_se,0.2584650112866817
fastqctrimmed,fastqc,0.8841761827079935
fastqctrimmed,trim_fasq_fastqc,0.0663654334933634
fastqctrimmed,picard_rna_seq,0.2120717781402936
fastqctrimmed,salmon_index_extended,0.2490752157829839
fastqctrimmed,fastp_trimming_SE,0.1825503355704698
fastqctrimmed,starindex,0.1729200652528548
fastqctrimmed,DRIMSeq,0.3237043330501274
fastqctrimmed,samtools_flagstat,0.2055464926590537
fastqctrimmed,salmon_quant_se,0.2379310344827586
fastqctrimmed,feature_counts,0.2365887207702888
fastqctrimmed,RNA_SeqC,0.1631321370309951
fastqctrimmed,fastqc 6,0.2218597063621533
fastqctrimmed,star_genome,0.1754966887417218
fastqctrimmed,edgeR,0.3130962705984388
fastqctrimmed,startPE,0.2884743504330446
fastqctrimmed,tastq_to_bam_HISAT,0.0843592330978809
fastqctrimmed,fastqc 5,0.195758564437194
fastqctrimmed,multiqc 2,0.2185970636215334
fastqctrimmed,kallistoQuant,0.1633888048411498
fastqctrimmed,salmon_index,0.2165697674418605
fastqctrimmed,trim_galore_pe,0.152
fastqctrimmed,samlon_quant,0.2593800978792822
fastqctrimmed,sortedbam_to_counts,0.1086782376502002
fastqctrimmed,featureCounts 2,0.2018489984591679
fastqctrimmed,fastqc 4,0.2202283849918433
fastqctrimmed,multiqc 3,0.1941272430668842
fastqctrimmed,merge_trimmed_SE,0.1892332789559543
fastqctrimmed,trimgaloreSE,0.6461086637298091
fastqctrimmed,fastQCtrimmed 2,0.234910277324633
fastqctrimmed,fastqcrim,0.233278955954323
fastqctrimmed,sortedbam_to_rmdup,0.1290594685786588
fastqctrimmed,sort_index_bams,0.234910277324633
fastqctrimmed,fastqc 3,0.2071778140293637
fastqctrimmed,fastqc 2,0.2642740619902121
fastqctrimmed,rsem_norm,0.1928665785997357
fastqctrimmed,featureCounts,0.2202283849918433
fastqctrimmed,merge_trimmed_PE,0.1899509803921568
fastqctrimmed,trimgalorePE,0.4640718562874252
fastqctrimmed,compare_reference_stringtie,0.231647634584013
fastqctrimmed,hisat2,0.2088091353996737
