,multiqc 3_shell_commands.txt,startPE_shell_commands.txt,RNA_SeqC_shell_commands.txt,merge_trimmed_PE_shell_commands.txt,merge_trimmed_SE_shell_commands.txt,sort_bams_shell_commands.txt,sort_index_bams_shell_commands.txt,cutadapt 2_shell_commands.txt,fastqc 3_shell_commands.txt,starSE_shell_commands.txt,hisat2_shell_commands.txt,generate_genome_star_index_shell_commands.txt,rsem_norm_shell_commands.txt,tximeta_shell_commands.txt,fastp_trimming_PE_shell_commands.txt,pass2_shell_commands.txt,cutadapt_shell_commands.txt,run_star_se_shell_commands.txt,salmon_quant_pe_shell_commands.txt,fetch_unique_stringtie_shell_commands.txt,bigwig_shell_commands.txt,run_star_pe_shell_commands.txt,edgeR_shell_commands.txt,salmon_quant_se_shell_commands.txt,fastp_trimming_SE_shell_commands.txt,fastqc 5_shell_commands.txt,trim_galore_pe_shell_commands.txt,samtools_flagstat_shell_commands.txt,bamindex_shell_commands.txt,expressbam_shell_commands.txt,map_shell_commands.txt,pass1_shell_commands.txt,fastqScreen_shell_commands.txt,featureCounts 2_shell_commands.txt,run_multiqc_shell_commands.txt,picard_rna_seq_shell_commands.txt,trimgaloreSE_shell_commands.txt,kallistoQuant_shell_commands.txt,fastqc_trimmed_shell_commands.txt,salmonSE_shell_commands.txt,MultiQC_shell_commands.txt,salmon_index_shell_commands.txt,salmonPE_shell_commands.txt,featureCounts_shell_commands.txt,sortbam_shell_commands.txt,trimgalorePE_shell_commands.txt,fastqc 4_shell_commands.txt,mark_dups_shell_commands.txt,fastqc 2_shell_commands.txt,salmon_quant_shell_commands.txt,starindex_shell_commands.txt,fastqctrimmed_shell_commands.txt,sampleReads_shell_commands.txt,star_genome_shell_commands.txt,fastqcrim_shell_commands.txt,fastqc_shell_commands.txt,compare_reference_stringtie_shell_commands.txt,DRIMSeq_shell_commands.txt,multiqc 2_shell_commands.txt,salmon_index_extended_shell_commands.txt,samtools_bam_shell_commands.txt,samlon_quant_shell_commands.txt
multiqc 3_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
startPE_shell_commands.txt,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.05657027281918339,0.0,0.4353034619346404,0.0,0.0,0.0,0.0,0.45528870491368617,0.0,0.048236323782571915,0.0,0.0,0.0,0.0,0.0,0.45528870491368617,0.11967270057671059,0.0,0.4353034619346404,0.0,0.0,0.0,0.0,0.5199825100744113,0.0,0.14097089871750682,0.48068017628039894,0.47595101377250576,0.0,0.48068017628039894,0.0,0.0,0.5199825100744113,0.0,0.0,0.14097089871750682,0.0,0.11437504473803134,0.5026000375052937,0.0,0.4353034619346404,0.0,0.5026000375052937,0.0,0.051082959631453644,0.0,0.0,0.0,0.0
RNA_SeqC_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merge_trimmed_PE_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merge_trimmed_SE_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sort_bams_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sort_index_bams_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutadapt 2_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastqc 3_shell_commands.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starSE_shell_commands.txt,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.05657027281918339,0.0,0.4353034619346404,0.0,0.0,0.0,0.0,0.45528870491368617,0.0,0.048236323782571915,0.0,0.0,0.0,0.0,0.0,0.45528870491368617,0.11967270057671059,0.0,0.4353034619346404,0.0,0.0,0.0,0.0,0.5199825100744113,0.0,0.14097089871750682,0.48068017628039894,0.47595101377250576,0.0,0.48068017628039894,0.0,0.0,0.5199825100744113,0.0,0.0,0.14097089871750682,0.0,0.11437504473803134,0.5026000375052937,0.0,0.4353034619346404,0.0,0.5026000375052937,0.0,0.051082959631453644,0.0,0.0,0.0,0.0
