,multiqc 3_shell_commands.txt,startPE_shell_commands.txt,RNA_SeqC_shell_commands.txt,merge_trimmed_PE_shell_commands.txt,merge_trimmed_SE_shell_commands.txt,sort_bams_shell_commands.txt,sort_index_bams_shell_commands.txt,cutadapt 2_shell_commands.txt,fastqc 3_shell_commands.txt,starSE_shell_commands.txt,hisat2_shell_commands.txt,generate_genome_star_index_shell_commands.txt,rsem_norm_shell_commands.txt,tximeta_shell_commands.txt,fastp_trimming_PE_shell_commands.txt,pass2_shell_commands.txt,cutadapt_shell_commands.txt,run_star_se_shell_commands.txt,salmon_quant_pe_shell_commands.txt,fetch_unique_stringtie_shell_commands.txt,bigwig_shell_commands.txt,run_star_pe_shell_commands.txt,edgeR_shell_commands.txt,salmon_quant_se_shell_commands.txt,fastp_trimming_SE_shell_commands.txt,fastqc 5_shell_commands.txt,trim_galore_pe_shell_commands.txt,samtools_flagstat_shell_commands.txt,bamindex_shell_commands.txt,expressbam_shell_commands.txt,map_shell_commands.txt,pass1_shell_commands.txt,fastqScreen_shell_commands.txt,featureCounts 2_shell_commands.txt,run_multiqc_shell_commands.txt,picard_rna_seq_shell_commands.txt,trimgaloreSE_shell_commands.txt,kallistoQuant_shell_commands.txt,fastqc_trimmed_shell_commands.txt,salmonSE_shell_commands.txt,MultiQC_shell_commands.txt,salmon_index_shell_commands.txt,salmonPE_shell_commands.txt,featureCounts_shell_commands.txt,sortbam_shell_commands.txt,trimgalorePE_shell_commands.txt,fastqc 4_shell_commands.txt,mark_dups_shell_commands.txt,fastqc 2_shell_commands.txt,salmon_quant_shell_commands.txt,starindex_shell_commands.txt,fastqctrimmed_shell_commands.txt,sampleReads_shell_commands.txt,star_genome_shell_commands.txt,fastqcrim_shell_commands.txt,fastqc_shell_commands.txt,compare_reference_stringtie_shell_commands.txt,DRIMSeq_shell_commands.txt,multiqc 2_shell_commands.txt,salmon_index_extended_shell_commands.txt,samtools_bam_shell_commands.txt,samlon_quant_shell_commands.txt
multiqc 3_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
startPE_shell_commands.txt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782594,0.0,1.0,0.06521739130434778,0.0,0.08695652173913049,0.11442786069651745,0.0,0.10869565217391308,0.04347826086956519,0.0,0.0,0.0,0.7037037037037037,0.0,0.09486166007905139,0.0,0.0,0.08695652173913049,0.0,0.10869565217391308,0.7037037037037037,0.12068965517241381,0.0,0.10869565217391308,0.08695652173913049,0.12068965517241381,0.07843137254901966,0.0,0.6333333333333333,0.06521739130434778,0.17391304347826086,0.78,0.7307692307692308,0.0,0.78,0.0,0.08695652173913049,0.6333333333333333,0.0,0.10869565217391308,0.180327868852459,0.0,0.10924369747899154,0.76,0.10204081632653061,0.10869565217391308,0.0,0.76,0.0,0.09829059829059827,0.08695652173913049,0.0,0.10869565217391308,0.08695652173913049
RNA_SeqC_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
merge_trimmed_PE_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
merge_trimmed_SE_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sort_bams_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sort_index_bams_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cutadapt 2_shell_commands.txt,0.0,0.021739130434782594,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.021739130434782594,0.46153846153846156,0.0,0.11764705882352944,0.03980099502487566,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.05555555555555558,0.0,0.035573122529644285,0.0,0.0,0.10526315789473684,0.0,0.15625,0.07407407407407407,0.06896551724137934,0.0,0.0,0.10869565217391308,0.12068965517241381,0.11764705882352944,0.0,0.06666666666666665,0.3846153846153846,0.13043478260869568,0.06000000000000005,0.07692307692307687,0.0,0.06000000000000005,0.0,0.09756097560975607,0.06666666666666665,0.0,0.125,0.11475409836065575,0.0,0.05882352941176472,0.07999999999999996,0.1428571428571429,0.0,0.0,0.07999999999999996,0.0,0.038461538461538436,0.13157894736842102,0.0,0.09677419354838712,0.0
fastqc 3_shell_commands.txt,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
starSE_shell_commands.txt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782594,0.0,1.0,0.06521739130434778,0.0,0.08695652173913049,0.11442786069651745,0.0,0.10869565217391308,0.04347826086956519,0.0,0.0,0.0,0.7037037037037037,0.0,0.09486166007905139,0.0,0.0,0.08695652173913049,0.0,0.10869565217391308,0.7037037037037037,0.12068965517241381,0.0,0.10869565217391308,0.08695652173913049,0.12068965517241381,0.07843137254901966,0.0,0.6333333333333333,0.06521739130434778,0.17391304347826086,0.78,0.7307692307692308,0.0,0.78,0.0,0.08695652173913049,0.6333333333333333,0.0,0.10869565217391308,0.180327868852459,0.0,0.10924369747899154,0.76,0.10204081632653061,0.10869565217391308,0.0,0.76,0.0,0.09829059829059827,0.08695652173913049,0.0,0.10869565217391308,0.08695652173913049
