Process A,Process B,Similarity
trim_galore_pe,salmonPE,0.1428571428571429
trim_galore_pe,mark_dups,0.2142857142857143
trim_galore_pe,run_star_se,0.3571428571428571
trim_galore_pe,salmonSE,0.1428571428571429
trim_galore_pe,pass1,0.0714285714285714
trim_galore_pe,run_star_pe,0.4285714285714286
trim_galore_pe,rsem_norm,0.2857142857142857
trim_galore_pe,fastqcrim,0.0714285714285714
trim_galore_pe,generate_genome_star_index,0.1333333333333333
trim_galore_pe,picard_rna_seq,0.1428571428571429
trim_galore_pe,sortedbam_to_rmdup,0.2222222222222222
trim_galore_pe,cutadapt,0.1428571428571429
trim_galore_pe,MultiQC,0.1428571428571429
trim_galore_pe,sort_index_bams,0.0666666666666666
trim_galore_pe,hisat2,0.1428571428571429
trim_galore_pe,fetch_unique_stringtie,0.1818181818181817
trim_galore_pe,salmon_quant,0.0714285714285714
trim_galore_pe,fastp_trimming_PE,0.0
trim_galore_pe,startPE,0.1428571428571429
trim_galore_pe,compare_reference_stringtie,0.1851851851851852
trim_galore_pe,RNA_SeqC,0.1428571428571429
trim_galore_pe,fastp_trimming_SE,0.0
trim_galore_pe,sortedbam_to_counts,0.1578947368421053
trim_galore_pe,fastqc 4,0.0714285714285714
trim_galore_pe,fastqc 3,0.0714285714285714
trim_galore_pe,fastqc_trimmed,0.0714285714285714
trim_galore_pe,samtools_bam,0.1428571428571429
trim_galore_pe,sortbam,0.1428571428571429
trim_galore_pe,samlon_quant,0.0714285714285714
trim_galore_pe,kallistoQuant,0.0714285714285714
trim_galore_pe,fastqc 2,0.0714285714285714
trim_galore_pe,tastq_to_bam_HISAT,0.1666666666666666
trim_galore_pe,fastqc 5,0.0714285714285714
trim_galore_pe,starindex,0.1428571428571429
trim_galore_pe,merge_trimmed_PE,0.1428571428571429
trim_galore_pe,bamindex,0.1428571428571429
trim_galore_pe,map,0.2142857142857143
trim_galore_pe,merge_trimmed_SE,0.1428571428571429
trim_galore_pe,salmon_index_extended,0.1904761904761904
trim_galore_pe,pass2,0.0714285714285714
trim_galore_pe,featureCounts 2,0.0714285714285714
trim_galore_pe,tximeta,0.2857142857142857
trim_galore_pe,fastqScreen,0.1428571428571429
trim_galore_pe,multiqc 2,0.1428571428571429
trim_galore_pe,trimgalorePE,0.7142857142857143
trim_galore_pe,samtools_flagstat,0.1176470588235294
trim_galore_pe,featureCounts,0.0714285714285714
trim_galore_pe,counts_matrix,0.0714285714285714
trim_galore_pe,trimgaloreSE,0.7142857142857143
trim_galore_pe,multiqc 3,0.1428571428571429
trim_galore_pe,star_genome,0.2857142857142857
trim_galore_pe,salmon_quant_pe,0.2666666666666667
trim_galore_pe,sort_bams,0.1428571428571429
trim_galore_pe,edgeR,0.1428571428571429
trim_galore_pe,fastqc,0.0714285714285714
trim_galore_pe,sampleReads,0.2142857142857143
trim_galore_pe,salmon_quant_se,0.1999999999999999
trim_galore_pe,feature_counts,0.0
trim_galore_pe,cutadapt 2,0.1428571428571429
trim_galore_pe,DRIMSeq,0.0714285714285714
trim_galore_pe,bigwig,0.1428571428571429
trim_galore_pe,fastqctrimmed,0.0714285714285714
trim_galore_pe,fastQCtrimmed 2,0.0714285714285714
trim_galore_pe,run_multiqc,0.2142857142857143
trim_galore_pe,starSE,0.1428571428571429
