Process A,Process B,Similarity
salmonPE,run_star_se,0.1818181818181817
salmonPE,salmonSE,1.0
salmonPE,run_star_pe,0.1818181818181817
salmonPE,generate_genome_star_index,0.1818181818181817
salmonPE,cutadapt,0.0909090909090909
salmonPE,MultiQC,1.0
salmonPE,sort_index_bams,0.1818181818181817
salmonPE,hisat2,0.0909090909090909
salmonPE,fastp_trimming_PE,0.1818181818181817
salmonPE,startPE,1.0
salmonPE,fastp_trimming_SE,0.1818181818181817
salmonPE,fastqc 3,0.1818181818181817
salmonPE,fastqc_trimmed,0.0
salmonPE,samlon_quant,0.1818181818181817
salmonPE,kallistoQuant,0.0
salmonPE,fastqc 2,0.0
salmonPE,bamindex,1.0
salmonPE,featureCounts 2,0.1818181818181817
salmonPE,tximeta,0.0
salmonPE,fastqScreen,0.0909090909090909
salmonPE,multiqc 2,0.0
salmonPE,trimgalorePE,1.0
salmonPE,trimgaloreSE,1.0
salmonPE,multiqc 3,0.1818181818181817
salmonPE,salmon_quant_pe,0.1818181818181817
salmonPE,sort_bams,0.1818181818181817
salmonPE,edgeR,0.0
salmonPE,fastqc,1.0
salmonPE,sampleReads,0.0909090909090909
salmonPE,salmon_quant_se,0.1818181818181817
salmonPE,cutadapt 2,0.0909090909090909
salmonPE,DRIMSeq,0.0
salmonPE,bigwig,1.0
salmonPE,fastqctrimmed,1.0
salmonPE,starSE,1.0
salmonPE,salmon_index,0.1818181818181817
run_star_se,salmonSE,0.1818181818181817
run_star_se,run_star_pe,1.0
run_star_se,generate_genome_star_index,1.0
run_star_se,cutadapt,0.125
run_star_se,MultiQC,0.1818181818181817
run_star_se,sort_index_bams,1.0
run_star_se,hisat2,0.0
run_star_se,fastp_trimming_PE,1.0
run_star_se,startPE,0.1818181818181817
run_star_se,fastp_trimming_SE,1.0
run_star_se,fastqc 3,1.0
run_star_se,fastqc_trimmed,0.0
run_star_se,samlon_quant,0.5
run_star_se,kallistoQuant,0.375
run_star_se,fastqc 2,0.0
run_star_se,bamindex,0.1818181818181817
run_star_se,featureCounts 2,0.0
run_star_se,tximeta,0.0
run_star_se,fastqScreen,0.1818181818181817
run_star_se,multiqc 2,0.0
run_star_se,trimgalorePE,0.1818181818181817
run_star_se,trimgaloreSE,0.1818181818181817
run_star_se,multiqc 3,1.0
run_star_se,salmon_quant_pe,1.0
run_star_se,sort_bams,1.0
run_star_se,edgeR,0.0
run_star_se,fastqc,0.1818181818181817
run_star_se,sampleReads,0.0
run_star_se,salmon_quant_se,1.0
run_star_se,cutadapt 2,0.125
run_star_se,DRIMSeq,0.0
run_star_se,bigwig,0.1818181818181817
run_star_se,fastqctrimmed,0.1818181818181817
run_star_se,starSE,0.1818181818181817
run_star_se,salmon_index,1.0
salmonSE,run_star_pe,0.1818181818181817
salmonSE,generate_genome_star_index,0.1818181818181817
salmonSE,cutadapt,0.0909090909090909
salmonSE,MultiQC,1.0
salmonSE,sort_index_bams,0.1818181818181817
salmonSE,hisat2,0.0909090909090909
salmonSE,fastp_trimming_PE,0.1818181818181817
salmonSE,startPE,1.0
salmonSE,fastp_trimming_SE,0.1818181818181817
salmonSE,fastqc 3,0.1818181818181817
salmonSE,fastqc_trimmed,0.0
salmonSE,samlon_quant,0.1818181818181817
salmonSE,kallistoQuant,0.0
salmonSE,fastqc 2,0.0
salmonSE,bamindex,1.0
salmonSE,featureCounts 2,0.1818181818181817
salmonSE,tximeta,0.0
salmonSE,fastqScreen,0.0909090909090909
salmonSE,multiqc 2,0.0
salmonSE,trimgalorePE,1.0
salmonSE,trimgaloreSE,1.0
salmonSE,multiqc 3,0.1818181818181817
salmonSE,salmon_quant_pe,0.1818181818181817
salmonSE,sort_bams,0.1818181818181817
salmonSE,edgeR,0.0
salmonSE,fastqc,1.0
salmonSE,sampleReads,0.0909090909090909
salmonSE,salmon_quant_se,0.1818181818181817
salmonSE,cutadapt 2,0.0909090909090909
salmonSE,DRIMSeq,0.0
salmonSE,bigwig,1.0
salmonSE,fastqctrimmed,1.0
salmonSE,starSE,1.0
salmonSE,salmon_index,0.1818181818181817
run_star_pe,generate_genome_star_index,1.0
run_star_pe,cutadapt,0.125
run_star_pe,MultiQC,0.1818181818181817
run_star_pe,sort_index_bams,1.0
run_star_pe,hisat2,0.0
run_star_pe,fastp_trimming_PE,1.0
run_star_pe,startPE,0.1818181818181817
run_star_pe,fastp_trimming_SE,1.0
run_star_pe,fastqc 3,1.0
run_star_pe,fastqc_trimmed,0.0
run_star_pe,samlon_quant,0.5
run_star_pe,kallistoQuant,0.375
run_star_pe,fastqc 2,0.0
run_star_pe,bamindex,0.1818181818181817
run_star_pe,featureCounts 2,0.0
run_star_pe,tximeta,0.0
run_star_pe,fastqScreen,0.1818181818181817
run_star_pe,multiqc 2,0.0
run_star_pe,trimgalorePE,0.1818181818181817
run_star_pe,trimgaloreSE,0.1818181818181817
run_star_pe,multiqc 3,1.0
run_star_pe,salmon_quant_pe,1.0
run_star_pe,sort_bams,1.0
run_star_pe,edgeR,0.0
run_star_pe,fastqc,0.1818181818181817
run_star_pe,sampleReads,0.0
run_star_pe,salmon_quant_se,1.0
run_star_pe,cutadapt 2,0.125
run_star_pe,DRIMSeq,0.0
run_star_pe,bigwig,0.1818181818181817
run_star_pe,fastqctrimmed,0.1818181818181817
run_star_pe,starSE,0.1818181818181817
run_star_pe,salmon_index,1.0
generate_genome_star_index,cutadapt,0.125
generate_genome_star_index,MultiQC,0.1818181818181817
generate_genome_star_index,sort_index_bams,1.0
generate_genome_star_index,hisat2,0.0
generate_genome_star_index,fastp_trimming_PE,1.0
generate_genome_star_index,startPE,0.1818181818181817
generate_genome_star_index,fastp_trimming_SE,1.0
generate_genome_star_index,fastqc 3,1.0
generate_genome_star_index,fastqc_trimmed,0.0
generate_genome_star_index,samlon_quant,0.5
generate_genome_star_index,kallistoQuant,0.375
generate_genome_star_index,fastqc 2,0.0
generate_genome_star_index,bamindex,0.1818181818181817
generate_genome_star_index,featureCounts 2,0.0
generate_genome_star_index,tximeta,0.0
generate_genome_star_index,fastqScreen,0.1818181818181817
generate_genome_star_index,multiqc 2,0.0
generate_genome_star_index,trimgalorePE,0.1818181818181817
generate_genome_star_index,trimgaloreSE,0.1818181818181817
generate_genome_star_index,multiqc 3,1.0
generate_genome_star_index,salmon_quant_pe,1.0
generate_genome_star_index,sort_bams,1.0
generate_genome_star_index,edgeR,0.0
generate_genome_star_index,fastqc,0.1818181818181817
generate_genome_star_index,sampleReads,0.0
generate_genome_star_index,salmon_quant_se,1.0
generate_genome_star_index,cutadapt 2,0.125
generate_genome_star_index,DRIMSeq,0.0
generate_genome_star_index,bigwig,0.1818181818181817
generate_genome_star_index,fastqctrimmed,0.1818181818181817
generate_genome_star_index,starSE,0.1818181818181817
generate_genome_star_index,salmon_index,1.0
cutadapt,MultiQC,0.0909090909090909
cutadapt,sort_index_bams,0.125
cutadapt,hisat2,0.125
cutadapt,fastp_trimming_PE,0.125
cutadapt,startPE,0.0909090909090909
cutadapt,fastp_trimming_SE,0.125
cutadapt,fastqc 3,0.125
cutadapt,fastqc_trimmed,0.0
cutadapt,samlon_quant,0.125
cutadapt,kallistoQuant,0.0
cutadapt,fastqc 2,0.0
cutadapt,bamindex,0.0909090909090909
cutadapt,featureCounts 2,0.25
cutadapt,tximeta,0.0
cutadapt,fastqScreen,0.0909090909090909
cutadapt,multiqc 2,0.0
cutadapt,trimgalorePE,0.0909090909090909
cutadapt,trimgaloreSE,0.0909090909090909
cutadapt,multiqc 3,0.125
cutadapt,salmon_quant_pe,0.125
cutadapt,sort_bams,0.125
cutadapt,edgeR,0.0
cutadapt,fastqc,0.0909090909090909
cutadapt,sampleReads,0.0
cutadapt,salmon_quant_se,0.125
cutadapt,cutadapt 2,1.0
cutadapt,DRIMSeq,0.0
cutadapt,bigwig,0.0909090909090909
cutadapt,fastqctrimmed,0.0909090909090909
cutadapt,starSE,0.0909090909090909
cutadapt,salmon_index,0.125
MultiQC,sort_index_bams,0.1818181818181817
MultiQC,hisat2,0.0909090909090909
MultiQC,fastp_trimming_PE,0.1818181818181817
MultiQC,startPE,1.0
MultiQC,fastp_trimming_SE,0.1818181818181817
MultiQC,fastqc 3,0.1818181818181817
MultiQC,fastqc_trimmed,0.0
MultiQC,samlon_quant,0.1818181818181817
MultiQC,kallistoQuant,0.0
MultiQC,fastqc 2,0.0
