Process A,Process B,Similarity
salmonPE,run_star_se,0.104048133775781
salmonPE,salmonSE,1.0
salmonPE,run_star_pe,0.132022299124279
salmonPE,generate_genome_star_index,0.132022299124279
salmonPE,cutadapt,0.3022491535155691
salmonPE,MultiQC,1.0
salmonPE,sort_index_bams,0.132022299124279
salmonPE,hisat2,0.1505194002046077
salmonPE,fastp_trimming_PE,0.132022299124279
salmonPE,startPE,1.0
salmonPE,fastp_trimming_SE,0.132022299124279
salmonPE,fastqc 3,0.132022299124279
salmonPE,fastqc_trimmed,0.3226496667398147
salmonPE,samlon_quant,0.2770464601843831
salmonPE,kallistoQuant,0.1728724350080007
salmonPE,fastqc 2,0.3226496667398147
salmonPE,bamindex,1.0
salmonPE,featureCounts 2,0.1728724350080007
salmonPE,tximeta,0.0
salmonPE,fastqScreen,0.1728724350080007
salmonPE,multiqc 2,0.3226496667398147
salmonPE,trimgalorePE,1.0
salmonPE,trimgaloreSE,1.0
salmonPE,multiqc 3,0.132022299124279
salmonPE,salmon_quant_pe,0.132022299124279
salmonPE,sort_bams,0.132022299124279
salmonPE,edgeR,0.0
salmonPE,fastqc,0.5137503593357258
salmonPE,sampleReads,0.2770464601843831
salmonPE,salmon_quant_se,0.132022299124279
salmonPE,cutadapt 2,0.1785156808196702
salmonPE,DRIMSeq,0.0
salmonPE,bigwig,1.0
salmonPE,fastqctrimmed,0.5137503593357258
salmonPE,starSE,1.0
salmonPE,salmon_index,0.132022299124279
run_star_se,salmonSE,0.104048133775781
run_star_se,run_star_pe,0.7881103000473845
run_star_se,generate_genome_star_index,0.7881103000473845
run_star_se,cutadapt,0.0739669870100666
run_star_se,MultiQC,0.104048133775781
run_star_se,sort_index_bams,0.7881103000473845
run_star_se,hisat2,0.4114269914865722
run_star_se,fastp_trimming_PE,0.7881103000473845
run_star_se,startPE,0.104048133775781
run_star_se,fastp_trimming_SE,0.7881103000473845
run_star_se,fastqc 3,0.7881103000473845
run_star_se,fastqc_trimmed,0.0789594393597429
run_star_se,samlon_quant,0.0677993360222516
run_star_se,kallistoQuant,0.4725263703523745
run_star_se,fastqc 2,0.0789594393597429
run_star_se,bamindex,0.104048133775781
run_star_se,featureCounts 2,0.4725263703523745
run_star_se,tximeta,0.0
run_star_se,fastqScreen,0.4725263703523745
run_star_se,multiqc 2,0.0789594393597429
run_star_se,trimgalorePE,0.104048133775781
run_star_se,trimgaloreSE,0.104048133775781
run_star_se,multiqc 3,0.7881103000473845
run_star_se,salmon_quant_pe,0.7881103000473845
run_star_se,sort_bams,0.7881103000473845
run_star_se,edgeR,0.0
run_star_se,fastqc,0.3252545804674322
run_star_se,sampleReads,0.0677993360222516
run_star_se,salmon_quant_se,0.7881103000473845
run_star_se,cutadapt 2,0.4879515158376625
run_star_se,DRIMSeq,0.0
run_star_se,bigwig,0.104048133775781
run_star_se,fastqctrimmed,0.3252545804674322
run_star_se,starSE,0.104048133775781
run_star_se,salmon_index,0.7881103000473845
salmonSE,run_star_pe,0.132022299124279
salmonSE,generate_genome_star_index,0.132022299124279
salmonSE,cutadapt,0.3022491535155691
salmonSE,MultiQC,1.0
salmonSE,sort_index_bams,0.132022299124279
salmonSE,hisat2,0.1505194002046077
salmonSE,fastp_trimming_PE,0.132022299124279
salmonSE,startPE,1.0
salmonSE,fastp_trimming_SE,0.132022299124279
salmonSE,fastqc 3,0.132022299124279
salmonSE,fastqc_trimmed,0.3226496667398147
salmonSE,samlon_quant,0.2770464601843831
salmonSE,kallistoQuant,0.1728724350080007
salmonSE,fastqc 2,0.3226496667398147
salmonSE,bamindex,1.0
salmonSE,featureCounts 2,0.1728724350080007
salmonSE,tximeta,0.0
salmonSE,fastqScreen,0.1728724350080007
salmonSE,multiqc 2,0.3226496667398147
salmonSE,trimgalorePE,1.0
salmonSE,trimgaloreSE,1.0
salmonSE,multiqc 3,0.132022299124279
salmonSE,salmon_quant_pe,0.132022299124279
salmonSE,sort_bams,0.132022299124279
salmonSE,edgeR,0.0
salmonSE,fastqc,0.5137503593357258
salmonSE,sampleReads,0.2770464601843831
salmonSE,salmon_quant_se,0.132022299124279
salmonSE,cutadapt 2,0.1785156808196702
salmonSE,DRIMSeq,0.0
salmonSE,bigwig,1.0
salmonSE,fastqctrimmed,0.5137503593357258
salmonSE,starSE,1.0
salmonSE,salmon_index,0.132022299124279
run_star_pe,generate_genome_star_index,1.0
run_star_pe,cutadapt,0.0938535976571038
run_star_pe,MultiQC,0.132022299124279
run_star_pe,sort_index_bams,1.0
run_star_pe,hisat2,0.046738881026061
run_star_pe,fastp_trimming_PE,1.0
run_star_pe,startPE,0.132022299124279
run_star_pe,fastp_trimming_SE,1.0
run_star_pe,fastqc 3,1.0
run_star_pe,fastqc_trimmed,0.1001883103862435
run_star_pe,samlon_quant,0.0860277248224966
run_star_pe,kallistoQuant,0.053679885526657
run_star_pe,fastqc 2,0.1001883103862435
run_star_pe,bamindex,0.132022299124279
run_star_pe,featureCounts 2,0.053679885526657
run_star_pe,tximeta,0.0
run_star_pe,fastqScreen,0.053679885526657
run_star_pe,multiqc 2,0.1001883103862435
run_star_pe,trimgalorePE,0.132022299124279
run_star_pe,trimgaloreSE,0.132022299124279
run_star_pe,multiqc 3,1.0
run_star_pe,salmon_quant_pe,1.0
run_star_pe,sort_bams,1.0
run_star_pe,edgeR,0.0
run_star_pe,fastqc,0.067826503615427
run_star_pe,sampleReads,0.0860277248224966
run_star_pe,salmon_quant_se,1.0
run_star_pe,cutadapt 2,0.0554322111021901
run_star_pe,DRIMSeq,0.0
run_star_pe,bigwig,0.132022299124279
run_star_pe,fastqctrimmed,0.067826503615427
run_star_pe,starSE,0.132022299124279
run_star_pe,salmon_index,1.0
generate_genome_star_index,cutadapt,0.0938535976571038
generate_genome_star_index,MultiQC,0.132022299124279
generate_genome_star_index,sort_index_bams,1.0
generate_genome_star_index,hisat2,0.046738881026061
generate_genome_star_index,fastp_trimming_PE,1.0
generate_genome_star_index,startPE,0.132022299124279
generate_genome_star_index,fastp_trimming_SE,1.0
generate_genome_star_index,fastqc 3,1.0
generate_genome_star_index,fastqc_trimmed,0.1001883103862435
generate_genome_star_index,samlon_quant,0.0860277248224966
generate_genome_star_index,kallistoQuant,0.053679885526657
generate_genome_star_index,fastqc 2,0.1001883103862435
generate_genome_star_index,bamindex,0.132022299124279
generate_genome_star_index,featureCounts 2,0.053679885526657
generate_genome_star_index,tximeta,0.0
generate_genome_star_index,fastqScreen,0.053679885526657
generate_genome_star_index,multiqc 2,0.1001883103862435
generate_genome_star_index,trimgalorePE,0.132022299124279
generate_genome_star_index,trimgaloreSE,0.132022299124279
generate_genome_star_index,multiqc 3,1.0
generate_genome_star_index,salmon_quant_pe,1.0
generate_genome_star_index,sort_bams,1.0
generate_genome_star_index,edgeR,0.0
generate_genome_star_index,fastqc,0.067826503615427
generate_genome_star_index,sampleReads,0.0860277248224966
generate_genome_star_index,salmon_quant_se,1.0
generate_genome_star_index,cutadapt 2,0.0554322111021901
generate_genome_star_index,DRIMSeq,0.0
generate_genome_star_index,bigwig,0.132022299124279
generate_genome_star_index,fastqctrimmed,0.067826503615427
generate_genome_star_index,starSE,0.132022299124279
generate_genome_star_index,salmon_index,1.0
cutadapt,MultiQC,0.3022491535155691
cutadapt,sort_index_bams,0.0938535976571038
cutadapt,hisat2,0.1070030390327744
cutadapt,fastp_trimming_PE,0.0938535976571038
cutadapt,startPE,0.3022491535155691
cutadapt,fastp_trimming_SE,0.0938535976571038
cutadapt,fastqc 3,0.0938535976571038
cutadapt,fastqc_trimmed,0.229369070280252
cutadapt,samlon_quant,0.1969501150861883
cutadapt,kallistoQuant,0.1228936328852418
cutadapt,fastqc 2,0.229369070280252
cutadapt,bamindex,0.3022491535155691
cutadapt,featureCounts 2,0.1228936328852418
cutadapt,tximeta,0.0
cutadapt,fastqScreen,0.1228936328852418
cutadapt,multiqc 2,0.229369070280252
cutadapt,trimgalorePE,0.3022491535155691
cutadapt,trimgaloreSE,0.3022491535155691
cutadapt,multiqc 3,0.0938535976571038
cutadapt,salmon_quant_pe,0.0938535976571038
cutadapt,sort_bams,0.0938535976571038
cutadapt,edgeR,0.0
cutadapt,fastqc,0.1552806112275426
cutadapt,sampleReads,0.1969501150861883
cutadapt,salmon_quant_se,0.0938535976571038
cutadapt,cutadapt 2,0.5906242540079595
cutadapt,DRIMSeq,0.0
cutadapt,bigwig,0.3022491535155691
cutadapt,fastqctrimmed,0.1552806112275426
cutadapt,starSE,0.3022491535155691
cutadapt,salmon_index,0.0938535976571038
MultiQC,sort_index_bams,0.132022299124279
MultiQC,hisat2,0.1505194002046077
MultiQC,fastp_trimming_PE,0.132022299124279
MultiQC,startPE,1.0
MultiQC,fastp_trimming_SE,0.132022299124279
MultiQC,fastqc 3,0.132022299124279
MultiQC,fastqc_trimmed,0.3226496667398147
MultiQC,samlon_quant,0.2770464601843831
MultiQC,kallistoQuant,0.1728724350080007
MultiQC,fastqc 2,0.3226496667398147
MultiQC,bamindex,1.0
MultiQC,featureCounts 2,0.1728724350080007
MultiQC,tximeta,0.0
MultiQC,fastqScreen,0.1728724350080007
MultiQC,multiqc 2,0.3226496667398147
MultiQC,trimgalorePE,1.0
MultiQC,trimgaloreSE,1.0
MultiQC,multiqc 3,0.132022299124279
MultiQC,salmon_quant_pe,0.132022299124279
MultiQC,sort_bams,0.132022299124279
MultiQC,edgeR,0.0
MultiQC,fastqc,0.5137503593357258
MultiQC,sampleReads,0.2770464601843831
MultiQC,salmon_quant_se,0.132022299124279
MultiQC,cutadapt 2,0.1785156808196702
MultiQC,DRIMSeq,0.0
MultiQC,bigwig,1.0
MultiQC,fastqctrimmed,0.5137503593357258
MultiQC,starSE,1.0
MultiQC,salmon_index,0.132022299124279
sort_index_bams,hisat2,0.046738881026061
sort_index_bams,fastp_trimming_PE,1.0
sort_index_bams,startPE,0.132022299124279
sort_index_bams,fastp_trimming_SE,1.0
sort_index_bams,fastqc 3,1.0
sort_index_bams,fastqc_trimmed,0.1001883103862435
sort_index_bams,samlon_quant,0.0860277248224966
sort_index_bams,kallistoQuant,0.053679885526657
sort_index_bams,fastqc 2,0.1001883103862435
sort_index_bams,bamindex,0.132022299124279
sort_index_bams,featureCounts 2,0.053679885526657
sort_index_bams,tximeta,0.0
sort_index_bams,fastqScreen,0.053679885526657
sort_index_bams,multiqc 2,0.1001883103862435
sort_index_bams,trimgalorePE,0.132022299124279
sort_index_bams,trimgaloreSE,0.132022299124279
sort_index_bams,multiqc 3,1.0
