Process A,Process B,Similarity
run_star_se,salmonSE,0.1053254570457264
run_star_se,run_star_pe,0.8011414932567097
run_star_se,generate_genome_star_index,0.8011414932567097
run_star_se,cutadapt,0.0766679838018062
run_star_se,MultiQC,0.1053254570457264
run_star_se,sort_index_bams,0.8011414932567097
run_star_se,hisat2,0.3917696771157888
run_star_se,fastp_trimming_PE,0.8011414932567097
run_star_se,startPE,0.1053254570457264
run_star_se,fastp_trimming_SE,0.8011414932567097
run_star_se,fastqc 3,0.8011414932567097
run_star_se,fastqc_trimmed,0.0818441779500316
run_star_se,samlon_quant,0.0702695827970904
run_star_se,kallistoQuant,0.4524652691651233
run_star_se,fastqc 2,0.0818441779500316
run_star_se,bamindex,0.1053254570457264
run_star_se,featureCounts 2,0.4524652691651233
run_star_se,tximeta,0.0
run_star_se,fastqScreen,0.4524652691651233
run_star_se,multiqc 2,0.0818441779500316
run_star_se,trimgalorePE,0.1053254570457264
run_star_se,trimgaloreSE,0.1053254570457264
run_star_se,multiqc 3,0.8011414932567097
run_star_se,salmon_quant_pe,0.8011414932567097
run_star_se,sort_bams,0.8011414932567097
run_star_se,edgeR,0.0
run_star_se,fastqc,0.3082291356905203
run_star_se,sampleReads,0.0702695827970904
run_star_se,salmon_quant_se,0.8011414932567097
run_star_se,cutadapt 2,0.4680606434320373
run_star_se,DRIMseq,0.2444016716930655
run_star_se,bigwig,0.1053254570457264
run_star_se,fastqctrimmed,0.3082291356905203
run_star_se,starSE,0.1053254570457264
run_star_se,salmon_index,0.8011414932567097
salmonSE,run_star_pe,0.1314692322545538
salmonSE,generate_genome_star_index,0.1314692322545538
salmonSE,cutadapt,0.3026949135394325
salmonSE,MultiQC,1.0
salmonSE,sort_index_bams,0.1314692322545538
salmonSE,hisat2,0.1537551614610026
salmonSE,fastp_trimming_PE,0.1314692322545538
salmonSE,startPE,1.0
salmonSE,fastp_trimming_SE,0.1314692322545538
salmonSE,fastqc 3,0.1314692322545538
salmonSE,fastqc_trimmed,0.3231311838372239
salmonSE,samlon_quant,0.2774332157240866
salmonSE,kallistoQuant,0.1775759446931831
salmonSE,fastqc 2,0.3231311838372239
salmonSE,bamindex,1.0
salmonSE,featureCounts 2,0.1775759446931831
salmonSE,tximeta,0.0
salmonSE,fastqScreen,0.1775759446931831
salmonSE,multiqc 2,0.3231311838372239
salmonSE,trimgalorePE,1.0
salmonSE,trimgaloreSE,1.0
salmonSE,multiqc 3,0.1314692322545538
salmonSE,salmon_quant_pe,0.1314692322545538
salmonSE,sort_bams,0.1314692322545538
salmonSE,edgeR,0.0
salmonSE,fastqc,0.5292007691564042
salmonSE,sampleReads,0.2774332157240866
