Pair,Similarity
"run_star_se,salmonSE",0.2666666666666667
"run_star_se,run_star_pe",0.6333333333333333
"run_star_se,generate_genome_star_index",0.6333333333333333
"run_star_se,cutadapt",0.2666666666666667
"run_star_se,MultiQC",0.2666666666666667
"run_star_se,sort_index_bams",0.6333333333333333
"run_star_se,hisat2",0.2666666666666667
"run_star_se,fastp_trimming_PE",0.6333333333333333
"run_star_se,startPE",0.2666666666666667
"run_star_se,fastp_trimming_SE",0.6333333333333333
"run_star_se,fastqc 3",0.6333333333333333
"run_star_se,fastqc_trimmed",0.33333333333333337
"run_star_se,samlon_quant",0.4
"run_star_se,kallistoQuant",0.38
"run_star_se,fastqc 2",0.33333333333333337
"run_star_se,bamindex",0.2666666666666667
"run_star_se,featureCounts 2",0.326530612244898
"run_star_se,tximeta",0.09999999999999998
"run_star_se,fastqScreen",0.339622641509434
"run_star_se,multiqc 2",0.33333333333333337
"run_star_se,trimgalorePE",0.2666666666666667
"run_star_se,trimgaloreSE",0.2666666666666667
"run_star_se,multiqc 3",0.6333333333333333
"run_star_se,salmon_quant_pe",0.6333333333333333
"run_star_se,sort_bams",0.6333333333333333
"run_star_se,edgeR",0.09999999999999998
"run_star_se,fastqc",0.44897959183673475
"run_star_se,sampleReads",0.16666666666666663
"run_star_se,salmon_quant_se",0.6333333333333333
"run_star_se,cutadapt 2",0.33999999999999997
"run_star_se,DRIMseq",0.06666666666666665
"run_star_se,bigwig",0.2666666666666667
"run_star_se,fastqctrimmed",0.44897959183673475
"run_star_se,starSE",0.2666666666666667
"run_star_se,salmon_index",0.6333333333333333
"salmonSE,run_star_pe",0.5217391304347826
"salmonSE,generate_genome_star_index",0.5217391304347826
"salmonSE,cutadapt",0.5652173913043479
"salmonSE,MultiQC",1.0
"salmonSE,sort_index_bams",0.5217391304347826
"salmonSE,hisat2",0.09999999999999998
"salmonSE,fastp_trimming_PE",0.5217391304347826
"salmonSE,startPE",1.0
"salmonSE,fastp_trimming_SE",0.5217391304347826
"salmonSE,fastqc 3",0.5217391304347826
"salmonSE,fastqc_trimmed",0.4782608695652174
"salmonSE,samlon_quant",0.6086956521739131
"salmonSE,kallistoQuant",0.16000000000000003
"salmonSE,fastqc 2",0.4782608695652174
"salmonSE,bamindex",1.0
"salmonSE,featureCounts 2",0.1428571428571429
"salmonSE,tximeta",0.13043478260869568
"salmonSE,fastqScreen",0.15094339622641506
"salmonSE,multiqc 2",0.5217391304347826
"salmonSE,trimgalorePE",1.0
"salmonSE,trimgaloreSE",1.0
"salmonSE,multiqc 3",0.5217391304347826
"salmonSE,salmon_quant_pe",0.5217391304347826
"salmonSE,sort_bams",0.5217391304347826
"salmonSE,edgeR",0.13043478260869568
"salmonSE,fastqc",0.4693877551020408
"salmonSE,sampleReads",0.26086956521739135
"salmonSE,salmon_quant_se",0.5217391304347826
"salmonSE,cutadapt 2",0.12
"salmonSE,DRIMseq",0.23333333333333328
"salmonSE,bigwig",1.0
"salmonSE,fastqctrimmed",0.4693877551020408
"salmonSE,starSE",1.0
"salmonSE,salmon_index",0.5217391304347826
"run_star_pe,generate_genome_star_index",1.0
"run_star_pe,cutadapt",0.44999999999999996
"run_star_pe,MultiQC",0.5217391304347826
"run_star_pe,sort_index_bams",1.0
"run_star_pe,hisat2",0.09999999999999998
"run_star_pe,fastp_trimming_PE",1.0
"run_star_pe,startPE",0.5217391304347826
"run_star_pe,fastp_trimming_SE",1.0
"run_star_pe,fastqc 3",1.0
"run_star_pe,fastqc_trimmed",0.4736842105263158
"run_star_pe,samlon_quant",0.631578947368421
"run_star_pe,kallistoQuant",0.18000000000000005
"run_star_pe,fastqc 2",0.4736842105263158
"run_star_pe,bamindex",0.5217391304347826
"run_star_pe,featureCounts 2",0.1428571428571429
"run_star_pe,tximeta",0.1578947368421053
"run_star_pe,fastqScreen",0.15094339622641506
"run_star_pe,multiqc 2",0.5263157894736843
"run_star_pe,trimgalorePE",0.5217391304347826
"run_star_pe,trimgaloreSE",0.5217391304347826
"run_star_pe,multiqc 3",1.0
"run_star_pe,salmon_quant_pe",1.0
"run_star_pe,sort_bams",1.0
"run_star_pe,edgeR",0.1578947368421053
"run_star_pe,fastqc",0.24489795918367352
"run_star_pe,sampleReads",0.30000000000000004
"run_star_pe,salmon_quant_se",1.0
"run_star_pe,cutadapt 2",0.14
"run_star_pe,DRIMseq",0.16666666666666663
"run_star_pe,bigwig",0.5217391304347826
"run_star_pe,fastqctrimmed",0.24489795918367352
"run_star_pe,starSE",0.5217391304347826
"run_star_pe,salmon_index",1.0
"generate_genome_star_index,cutadapt",0.44999999999999996
"generate_genome_star_index,MultiQC",0.5217391304347826
"generate_genome_star_index,sort_index_bams",1.0
"generate_genome_star_index,hisat2",0.09999999999999998
"generate_genome_star_index,fastp_trimming_PE",1.0
"generate_genome_star_index,startPE",0.5217391304347826
"generate_genome_star_index,fastp_trimming_SE",1.0
"generate_genome_star_index,fastqc 3",1.0
"generate_genome_star_index,fastqc_trimmed",0.4736842105263158
"generate_genome_star_index,samlon_quant",0.631578947368421
"generate_genome_star_index,kallistoQuant",0.18000000000000005
"generate_genome_star_index,fastqc 2",0.4736842105263158
"generate_genome_star_index,bamindex",0.5217391304347826
"generate_genome_star_index,featureCounts 2",0.1428571428571429
"generate_genome_star_index,tximeta",0.1578947368421053
"generate_genome_star_index,fastqScreen",0.15094339622641506
"generate_genome_star_index,multiqc 2",0.5263157894736843
"generate_genome_star_index,trimgalorePE",0.5217391304347826
"generate_genome_star_index,trimgaloreSE",0.5217391304347826
"generate_genome_star_index,multiqc 3",1.0
"generate_genome_star_index,salmon_quant_pe",1.0
"generate_genome_star_index,sort_bams",1.0
"generate_genome_star_index,edgeR",0.1578947368421053
"generate_genome_star_index,fastqc",0.24489795918367352
"generate_genome_star_index,sampleReads",0.30000000000000004
"generate_genome_star_index,salmon_quant_se",1.0
"generate_genome_star_index,cutadapt 2",0.14
"generate_genome_star_index,DRIMseq",0.16666666666666663
"generate_genome_star_index,bigwig",0.5217391304347826
"generate_genome_star_index,fastqctrimmed",0.24489795918367352
"generate_genome_star_index,starSE",0.5217391304347826
"generate_genome_star_index,salmon_index",1.0
"cutadapt,MultiQC",0.5652173913043479
"cutadapt,sort_index_bams",0.44999999999999996
"cutadapt,hisat2",0.1166666666666667
"cutadapt,fastp_trimming_PE",0.44999999999999996
"cutadapt,startPE",0.5652173913043479
"cutadapt,fastp_trimming_SE",0.44999999999999996
"cutadapt,fastqc 3",0.44999999999999996
"cutadapt,fastqc_trimmed",0.55
"cutadapt,samlon_quant",0.65
"cutadapt,kallistoQuant",0.14
"cutadapt,fastqc 2",0.55
"cutadapt,bamindex",0.5652173913043479
"cutadapt,featureCounts 2",0.1428571428571429
"cutadapt,tximeta",0.15000000000000002
"cutadapt,fastqScreen",0.13207547169811318
"cutadapt,multiqc 2",0.6
"cutadapt,trimgalorePE",0.5652173913043479
"cutadapt,trimgaloreSE",0.5652173913043479
"cutadapt,multiqc 3",0.44999999999999996
"cutadapt,salmon_quant_pe",0.44999999999999996
"cutadapt,sort_bams",0.44999999999999996
"cutadapt,edgeR",0.15000000000000002
"cutadapt,fastqc",0.26530612244897955
"cutadapt,sampleReads",0.25
"cutadapt,salmon_quant_se",0.44999999999999996
"cutadapt,cutadapt 2",0.28
"cutadapt,DRIMseq",0.19999999999999996
"cutadapt,bigwig",0.5652173913043479
"cutadapt,fastqctrimmed",0.26530612244897955
"cutadapt,starSE",0.5652173913043479
"cutadapt,salmon_index",0.44999999999999996
"MultiQC,sort_index_bams",0.5217391304347826
"MultiQC,hisat2",0.09999999999999998
"MultiQC,fastp_trimming_PE",0.5217391304347826
"MultiQC,startPE",1.0
"MultiQC,fastp_trimming_SE",0.5217391304347826
"MultiQC,fastqc 3",0.5217391304347826
"MultiQC,fastqc_trimmed",0.4782608695652174
"MultiQC,samlon_quant",0.6086956521739131
"MultiQC,kallistoQuant",0.16000000000000003
"MultiQC,fastqc 2",0.4782608695652174
"MultiQC,bamindex",1.0
"MultiQC,featureCounts 2",0.1428571428571429
"MultiQC,tximeta",0.13043478260869568
"MultiQC,fastqScreen",0.15094339622641506
"MultiQC,multiqc 2",0.5217391304347826
"MultiQC,trimgalorePE",1.0
"MultiQC,trimgaloreSE",1.0
"MultiQC,multiqc 3",0.5217391304347826
"MultiQC,salmon_quant_pe",0.5217391304347826
"MultiQC,sort_bams",0.5217391304347826
"MultiQC,edgeR",0.13043478260869568
"MultiQC,fastqc",0.4693877551020408
"MultiQC,sampleReads",0.26086956521739135
"MultiQC,salmon_quant_se",0.5217391304347826
"MultiQC,cutadapt 2",0.12
