Process A,Process B,Similarity
trim_galore_pe,salmonPE,0
trim_galore_pe,mark_dups,0
trim_galore_pe,salmonSE,0
trim_galore_pe,pass1,1
trim_galore_pe,rsem_norm,0
trim_galore_pe,fastqcrim,0
trim_galore_pe,picard_rna_seq,0
trim_galore_pe,sortedbam_to_rmdup,0
trim_galore_pe,cutadapt,0
trim_galore_pe,sort_index_bams,0
trim_galore_pe,fetch_unique_stringtie,1
trim_galore_pe,salmon_quant,1
trim_galore_pe,startPE,0
trim_galore_pe,compare_reference_stringtie,0
trim_galore_pe,RNA_SeqC,0
trim_galore_pe,sortedbam_to_counts,1
trim_galore_pe,fastqc 4,0
trim_galore_pe,fastqc 3,0
trim_galore_pe,fastqc_trimmed,0
trim_galore_pe,samtools_bam,0
trim_galore_pe,samlon_quant,0
trim_galore_pe,fastqc 2,0
trim_galore_pe,tastq_to_bam_HISAT,1
trim_galore_pe,bamindex,0
trim_galore_pe,salmon_index_extended,1
trim_galore_pe,pass2,1
trim_galore_pe,tximeta,0
trim_galore_pe,fastqScreen,0
trim_galore_pe,multiqc 2,0
trim_galore_pe,trimgalorePE,1
trim_galore_pe,samtools_flagstat,0
trim_galore_pe,featureCounts,0
trim_galore_pe,counts_matrix,1
trim_galore_pe,trimgaloreSE,0
trim_galore_pe,star_genome,0
trim_galore_pe,salmon_quant_pe,0
trim_galore_pe,sort_bams,0
trim_galore_pe,edgeR,0
trim_galore_pe,fastqc,0
trim_galore_pe,sampleReads,0
trim_galore_pe,salmon_quant_se,0
trim_galore_pe,feature_counts,1
trim_galore_pe,DRIMSeq,0
trim_galore_pe,bigwig,1
trim_galore_pe,fastqctrimmed,0
trim_galore_pe,fastQCtrimmed 2,0
trim_galore_pe,run_multiqc,1
trim_galore_pe,starSE,1
trim_galore_pe,salmon_index,1
salmonPE,mark_dups,0
salmonPE,salmonSE,0
salmonPE,pass1,0
salmonPE,rsem_norm,0
salmonPE,fastqcrim,0
salmonPE,picard_rna_seq,0
salmonPE,sortedbam_to_rmdup,0
salmonPE,cutadapt,0
salmonPE,sort_index_bams,0
salmonPE,fetch_unique_stringtie,0
salmonPE,salmon_quant,0
salmonPE,startPE,0
salmonPE,compare_reference_stringtie,0
salmonPE,RNA_SeqC,0
salmonPE,sortedbam_to_counts,0
salmonPE,fastqc 4,0
salmonPE,fastqc 3,0
salmonPE,fastqc_trimmed,0
salmonPE,samtools_bam,0
salmonPE,samlon_quant,0
salmonPE,fastqc 2,0
salmonPE,tastq_to_bam_HISAT,0
salmonPE,bamindex,0
salmonPE,salmon_index_extended,0
salmonPE,pass2,0
salmonPE,tximeta,1
salmonPE,fastqScreen,0
salmonPE,multiqc 2,0
salmonPE,trimgalorePE,0
salmonPE,samtools_flagstat,0
salmonPE,featureCounts,0
salmonPE,counts_matrix,0
salmonPE,trimgaloreSE,0
salmonPE,star_genome,0
salmonPE,salmon_quant_pe,0
salmonPE,sort_bams,0
salmonPE,edgeR,0
salmonPE,fastqc,0
salmonPE,sampleReads,0
salmonPE,salmon_quant_se,0
salmonPE,feature_counts,0
salmonPE,DRIMSeq,0
salmonPE,bigwig,0
salmonPE,fastqctrimmed,0
