Pair,Similarity
"trim_galore_pe,salmonPE",0.0
"trim_galore_pe,mark_dups",0.0
"trim_galore_pe,run_star_se",0.0
"trim_galore_pe,salmonSE",0.0
"trim_galore_pe,run_star_pe",0.0
"trim_galore_pe,rsem_norm",0.0
"trim_galore_pe,sortedbam_to_rmdup",0.0
"trim_galore_pe,cutadapt",1.0
"trim_galore_pe,MultiQC",0.0
"trim_galore_pe,sort_index_bams",0.0
"trim_galore_pe,hisat2",0.0
"trim_galore_pe,fetch_unique_stringtie",0.0
"trim_galore_pe,salmon_quant",0.0
"trim_galore_pe,fastp_trimming_PE",0.3333333333333333
"trim_galore_pe,startPE",0.0
"trim_galore_pe,compare_reference_stringtie",0.0
"trim_galore_pe,fastp_trimming_SE",0.3333333333333333
"trim_galore_pe,sortedbam_to_counts",0.0
"trim_galore_pe,fastqc 3",0.0
"trim_galore_pe,fastqc_trimmed",0.0
"trim_galore_pe,samtools_bam",0.0
"trim_galore_pe,samlon_quant",0.0
"trim_galore_pe,kallistoQuant",0.0
"trim_galore_pe,fastqc 2",0.0
"trim_galore_pe,tastq_to_bam_HISAT",0.0
"trim_galore_pe,merge_trimmed_PE",1.0
"trim_galore_pe,bamindex",0.0
"trim_galore_pe,merge_trimmed_SE",1.0
"trim_galore_pe,salmon_index_extended",0.0
"trim_galore_pe,featureCounts 2",0.0
"trim_galore_pe,tximeta",0.0
"trim_galore_pe,fastqScreen",0.0
"trim_galore_pe,multiqc 2",0.0
"trim_galore_pe,trimgalorePE",1.0
"trim_galore_pe,samtools_flagstat",0.0
"trim_galore_pe,featureCounts",0.0
"trim_galore_pe,counts_matrix",0.0
"trim_galore_pe,trimgaloreSE",1.0
"trim_galore_pe,multiqc 3",0.0
"trim_galore_pe,salmon_quant_pe",0.0
"trim_galore_pe,sort_bams",0.0
"trim_galore_pe,edgeR",0.0
"trim_galore_pe,fastqc",0.0
"trim_galore_pe,sampleReads",1.0
"trim_galore_pe,salmon_quant_se",0.0
"trim_galore_pe,feature_counts",0.0
"trim_galore_pe,cutadapt 2",0.0
"trim_galore_pe,DRIMSeq",0.0
"trim_galore_pe,bigwig",0.0
"trim_galore_pe,fastqctrimmed",0.0
"trim_galore_pe,fastQCtrimmed 2",0.0
"trim_galore_pe,run_multiqc",0.0
"trim_galore_pe,starSE",0.0
"trim_galore_pe,trim_fasq_fastqc",0.5
"trim_galore_pe,fastqc 6",0.0
"trim_galore_pe,salmon_index",0.0
"salmonPE,mark_dups",0.0
"salmonPE,run_star_se",0.0
"salmonPE,salmonSE",1.0
"salmonPE,run_star_pe",0.0
"salmonPE,rsem_norm",0.0
"salmonPE,sortedbam_to_rmdup",0.0
"salmonPE,cutadapt",0.0
"salmonPE,MultiQC",0.0
"salmonPE,sort_index_bams",0.0
"salmonPE,hisat2",0.0
"salmonPE,fetch_unique_stringtie",0.0
"salmonPE,salmon_quant",1.0
"salmonPE,fastp_trimming_PE",0.0
"salmonPE,startPE",0.0
"salmonPE,compare_reference_stringtie",0.0
"salmonPE,fastp_trimming_SE",0.0
"salmonPE,sortedbam_to_counts",0.0
"salmonPE,fastqc 3",0.0
"salmonPE,fastqc_trimmed",0.0
"salmonPE,samtools_bam",0.0
"salmonPE,samlon_quant",1.0
"salmonPE,kallistoQuant",0.0
"salmonPE,fastqc 2",0.0
"salmonPE,tastq_to_bam_HISAT",0.0
"salmonPE,merge_trimmed_PE",0.0
"salmonPE,bamindex",0.0
"salmonPE,merge_trimmed_SE",0.0
"salmonPE,salmon_index_extended",0.0
"salmonPE,featureCounts 2",0.0
"salmonPE,tximeta",0.0
"salmonPE,fastqScreen",0.0
"salmonPE,multiqc 2",0.0
"salmonPE,trimgalorePE",0.0
"salmonPE,samtools_flagstat",0.0
"salmonPE,featureCounts",0.0
"salmonPE,counts_matrix",0.0
"salmonPE,trimgaloreSE",0.0
"salmonPE,multiqc 3",0.0
"salmonPE,salmon_quant_pe",1.0
"salmonPE,sort_bams",0.0
"salmonPE,edgeR",0.0
"salmonPE,fastqc",0.0
"salmonPE,sampleReads",0.0
"salmonPE,salmon_quant_se",1.0
"salmonPE,feature_counts",0.0
"salmonPE,cutadapt 2",0.0
"salmonPE,DRIMSeq",0.0
"salmonPE,bigwig",0.0
"salmonPE,fastqctrimmed",0.0
"salmonPE,fastQCtrimmed 2",0.0
"salmonPE,run_multiqc",0.0
"salmonPE,starSE",0.0
"salmonPE,trim_fasq_fastqc",0.0
"salmonPE,fastqc 6",0.0
"salmonPE,salmon_index",0.0
"mark_dups,run_star_se",0.25
"mark_dups,salmonSE",0.0
"mark_dups,run_star_pe",0.25
"mark_dups,rsem_norm",0.0
"mark_dups,sortedbam_to_rmdup",0.5
"mark_dups,cutadapt",0.0
"mark_dups,MultiQC",0.0
"mark_dups,sort_index_bams",0.0
"mark_dups,hisat2",0.3333333333333333
"mark_dups,fetch_unique_stringtie",0.0
"mark_dups,salmon_quant",0.0
"mark_dups,fastp_trimming_PE",0.0
"mark_dups,startPE",0.5
"mark_dups,compare_reference_stringtie",0.0
