Process A,Process B,Similarity
map,fastqctrimmed,0.0062632191142689
map,expressbam,0.0640785889241438
map,salmonSE,0.1980286379213086
map,fastqScreen,0.0172495249559978
map,run_star_se,0.063616420843597
map,fastqc,0.0062632191142689
map,picard_rna_seq,0.0090399771854846
map,salmon_index_extended,0.0140324382856344
map,fastp_trimming_SE,0.0297823109048271
map,starindex,0.0774933256112198
map,DRIMSeq,0.0113486000225517
map,samtools_flagstat,0.0310387453560026
map,salmon_quant_se,0.0197957136394878
map,RNA_SeqC,0.0414230379051254
map,star_genome,0.1145065544196916
map,edgeR,0.0111048925926457
map,startPE,0.3727136206207744
map,fastqc 5,0.0090210722905803
map,multiqc 2,0.013010103734607
map,kallistoQuant,0.0
map,salmon_index,0.0145804400464611
map,trim_galore_pe,0.018612969441172
map,samlon_quant,0.0182901625338657
map,featureCounts 2,0.0411946920667601
map,fastqc 4,0.0104652418939741
map,multiqc 3,0.0
map,merge_trimmed_SE,0.0136705775053214
map,trimgaloreSE,0.0056332896077805
map,fastqcrim,0.0104652418939741
map,sort_index_bams,0.0195137163291611
map,fastqc 3,0.0097163134817777
map,fastqc 2,0.0103431322308743
map,rsem_norm,0.0171976398140403
map,featureCounts,0.0260225879354942
map,merge_trimmed_PE,0.015746096629015
map,trimgalorePE,0.0105749621465595
map,compare_reference_stringtie,0.0112166155692171
map,hisat2,0.0
map,sortbam,0.0275175958394914
map,starSE,0.378912834256818
map,fetch_unique_stringtie,0.0262350138189077
map,bigwig,0.4131897761180283
map,cutadapt 2,0.0
map,cutadapt,0.0179709760613372
map,MultiQC,0.0
map,salmon_quant_pe,0.023163496145972
map,tximeta,0.0170013002929262
map,salmon_quant,0.0152525277919245
map,sort_bams,0.0337797001586999
map,mark_dups,0.0266366790932607
map,fastp_trimming_PE,0.0310694090319099
map,salmonPE,0.1950271525659833
map,samtools_bam,0.0249954432426606
map,bamindex,0.0069265404786565
map,generate_genome_star_index,0.0811448201907007
map,run_star_pe,0.0665153725676458
map,pass1,0.0619991348825672
map,fastqc_trimmed,0.0107987154193948
map,run_multiqc,0.0
map,sampleReads,0.1702220254114881
map,pass2,0.0610560093903136
fastqctrimmed,expressbam,0.0678673814308992
fastqctrimmed,salmonSE,0.3197339012987227
fastqctrimmed,fastqScreen,0.0811451554260399
fastqctrimmed,run_star_se,0.0498425407487161
fastqctrimmed,fastqc,1.0000000000000002
fastqctrimmed,picard_rna_seq,0.0043331160003591
fastqctrimmed,salmon_index_extended,0.0710112196434208
fastqctrimmed,fastp_trimming_SE,0.0564810998466027
fastqctrimmed,starindex,0.0155125249397138
fastqctrimmed,DRIMSeq,0.0584498254849497
fastqctrimmed,samtools_flagstat,0.0148777459692181
fastqctrimmed,salmon_quant_se,0.0841357768856054
fastqctrimmed,RNA_SeqC,0.031286180454397
