Process A,Process B,Similarity
map,fastqctrimmed,0.0
map,expressbam,0.0
map,salmonSE,0.2318840579710145
map,fastqScreen,0.1730769230769231
map,run_star_se,1.0
map,fastqc,0.196078431372549
map,trim_fasq_fastqc,0.0
map,picard_rna_seq,0.2222222222222222
map,salmon_index_extended,0.2318840579710145
map,fastp_trimming_SE,0.1724137931034483
map,starindex,0.0
map,DRIMseq,0.0
map,samtools_flagstat,0.1578947368421053
map,salmon_quant_se,0.2318840579710145
map,feature_counts,0.0
map,RNA_SeqC,0.0
map,fastqc 6,0.0
map,star_genome,1.0
map,edgeR,0.0
map,startPE,0.1091954022988506
map,tastq_to_bam_HISAT,0.0
map,fastqc 5,0.0
map,multiqc 2,0.1333333333333333
map,kallistoQuant,0.125
map,salmon_index,0.2318840579710145
map,trim_galore_pe,0.0
map,samlon_quant,0.2318840579710145
map,sortedbam_to_counts,0.0
map,featureCounts 2,0.0
map,fastqc 4,0.196078431372549
map,multiqc 3,0.1333333333333333
map,merge_trimmed_SE,0.0
map,trimgaloreSE,0.2068965517241379
map,fastQCtrimmed 2,0.0
map,fastqcrim,0.196078431372549
map,sortedbam_to_rmdup,0.0
map,sort_index_bams,0.1744966442953019
map,fastqc 3,0.196078431372549
map,fastqc 2,0.196078431372549
map,rsem_norm,0.0
map,featureCounts,0.0
map,merge_trimmed_PE,0.0
map,trimgalorePE,0.2068965517241379
map,compare_reference_stringtie,0.0
map,hisat2,0.1764705882352941
map,sortbam,0.1526315789473684
map,starSE,0.1091954022988506
map,fetch_unique_stringtie,0.0
map,bigwig,0.0947630922693266
map,cutadapt 2,0.2068965517241379
map,cutadapt,0.2068965517241379
map,MultiQC,0.1333333333333333
map,salmon_quant_pe,0.2318840579710145
map,tximeta,0.0636363636363636
map,salmon_quant,0.2318840579710145
map,sort_bams,0.0
map,mark_dups,0.2222222222222222
map,fastp_trimming_PE,0.1724137931034483
map,samtools_bam,0.18
map,bamindex,0.18
map,generate_genome_star_index,1.0
map,run_star_pe,1.0
map,pass1,1.0
map,fastqc_trimmed,0.196078431372549
map,run_multiqc,0.1333333333333333
map,sampleReads,0.0
map,pass2,1.0
fastqctrimmed,expressbam,1.0
fastqctrimmed,salmonSE,0.0
fastqctrimmed,fastqScreen,0.0
fastqctrimmed,run_star_se,0.0
fastqctrimmed,fastqc,0.0
fastqctrimmed,trim_fasq_fastqc,1.0
fastqctrimmed,picard_rna_seq,0.0
fastqctrimmed,salmon_index_extended,0.0
fastqctrimmed,fastp_trimming_SE,0.0
fastqctrimmed,starindex,1.0
fastqctrimmed,DRIMseq,1.0
fastqctrimmed,samtools_flagstat,0.0
fastqctrimmed,salmon_quant_se,0.0
fastqctrimmed,feature_counts,1.0
fastqctrimmed,RNA_SeqC,1.0
fastqctrimmed,fastqc 6,1.0
fastqctrimmed,star_genome,0.0
fastqctrimmed,edgeR,1.0
fastqctrimmed,startPE,0.0
fastqctrimmed,tastq_to_bam_HISAT,1.0
fastqctrimmed,fastqc 5,1.0
fastqctrimmed,multiqc 2,0.0
fastqctrimmed,kallistoQuant,0.0
fastqctrimmed,salmon_index,0.0
fastqctrimmed,trim_galore_pe,1.0
fastqctrimmed,samlon_quant,0.0
fastqctrimmed,sortedbam_to_counts,1.0
fastqctrimmed,featureCounts 2,1.0
fastqctrimmed,fastqc 4,0.0
fastqctrimmed,multiqc 3,0.0
