Process A,Process B,Similarity
map,fastqctrimmed,0.0
map,expressbam,0.0
map,salmonSE,0.244208033741311
map,fastqScreen,0.0
map,run_star_se,1.0
map,fastqc,0.0720691639014506
map,trim_fasq_fastqc,0.0
map,picard_rna_seq,0.0
map,salmon_index_extended,0.244208033741311
map,fastp_trimming_SE,0.0320111089205263
map,starindex,0.0
map,DRIMseq,0.0
map,samtools_flagstat,0.0
map,salmon_quant_se,0.244208033741311
map,feature_counts,0.0
map,RNA_SeqC,0.0
map,fastqc 6,0.0
map,star_genome,1.0
map,edgeR,0.0
map,startPE,0.247007938620406
map,tastq_to_bam_HISAT,0.0
map,fastqc 5,0.0
map,multiqc 2,0.0
map,kallistoQuant,0.0724773207835749
map,salmon_index,0.244208033741311
map,trim_galore_pe,0.0
map,samlon_quant,0.244208033741311
map,sortedbam_to_counts,0.0
map,featureCounts 2,0.0
map,fastqc 4,0.0720691639014506
map,multiqc 3,0.0
map,merge_trimmed_SE,0.0
map,trimgaloreSE,0.0613978648280682
map,fastQCtrimmed 2,0.0
map,fastqcrim,0.0720691639014506
map,sortedbam_to_rmdup,0.0
map,sort_index_bams,0.0
map,fastqc 3,0.0720691639014506
map,fastqc 2,0.0720691639014506
map,rsem_norm,0.0
map,featureCounts,0.0
map,merge_trimmed_PE,0.0
map,trimgalorePE,0.0613978648280682
map,compare_reference_stringtie,0.0
map,hisat2,0.0341750605626046
map,sortbam,0.0
map,starSE,0.247007938620406
map,fetch_unique_stringtie,0.0
map,bigwig,0.2300748099529306
map,cutadapt 2,0.0613978648280682
map,cutadapt,0.0613978648280682
map,MultiQC,0.0
map,salmon_quant_pe,0.244208033741311
map,tximeta,0.0927558149972304
map,salmon_quant,0.244208033741311
map,sort_bams,0.0
map,mark_dups,0.0
map,fastp_trimming_PE,0.0320111089205263
map,samtools_bam,0.0
map,bamindex,0.0
map,generate_genome_star_index,1.0
map,run_star_pe,1.0
map,pass1,1.0
map,fastqc_trimmed,0.0720691639014506
map,run_multiqc,0.0
map,sampleReads,0.0
map,pass2,1.0
fastqctrimmed,expressbam,0.0
fastqctrimmed,salmonSE,0.0
fastqctrimmed,fastqScreen,0.0
fastqctrimmed,run_star_se,0.0
fastqctrimmed,fastqc,0.0
fastqctrimmed,trim_fasq_fastqc,0.0
fastqctrimmed,picard_rna_seq,0.0
fastqctrimmed,salmon_index_extended,0.0
fastqctrimmed,fastp_trimming_SE,0.0
fastqctrimmed,starindex,0.0
fastqctrimmed,DRIMseq,0.0
fastqctrimmed,samtools_flagstat,0.0
fastqctrimmed,salmon_quant_se,0.0
fastqctrimmed,feature_counts,0.0
fastqctrimmed,RNA_SeqC,0.0
fastqctrimmed,fastqc 6,0.0
fastqctrimmed,star_genome,0.0
fastqctrimmed,edgeR,0.0
fastqctrimmed,startPE,0.0
fastqctrimmed,tastq_to_bam_HISAT,0.0
fastqctrimmed,fastqc 5,0.0
fastqctrimmed,multiqc 2,0.0
fastqctrimmed,kallistoQuant,0.0
fastqctrimmed,salmon_index,0.0
fastqctrimmed,trim_galore_pe,0.0
fastqctrimmed,samlon_quant,0.0
fastqctrimmed,sortedbam_to_counts,0.0
fastqctrimmed,featureCounts 2,0.0
fastqctrimmed,fastqc 4,0.0
fastqctrimmed,multiqc 3,0.0
fastqctrimmed,merge_trimmed_SE,0.0
fastqctrimmed,trimgaloreSE,0.0
