Process A,Process B,Similarity
map,fastqctrimmed,0.2033898305084746
map,expressbam,0.0
map,salmonSE,0.240506329113924
map,fastqScreen,0.164021164021164
map,run_star_se,1.0
map,fastqc,0.2033898305084746
map,trim_fasq_fastqc,0.0
map,picard_rna_seq,0.24
map,salmon_index_extended,0.240506329113924
map,fastp_trimming_SE,0.1761006289308175
map,starindex,0.0
map,DRIMseq,0.0
map,samtools_flagstat,0.1559633027522935
map,salmon_quant_se,0.240506329113924
map,feature_counts,0.0
map,RNA_SeqC,0.0
map,fastqc 6,0.2033898305084746
map,star_genome,1.0
map,edgeR,0.0
map,startPE,0.1031941031941031
map,tastq_to_bam_HISAT,0.0
map,fastqc 5,0.2033898305084746
map,multiqc 2,0.1285714285714285
map,kallistoQuant,0.12012987012987
map,salmon_index,0.240506329113924
map,trim_galore_pe,0.0
map,samlon_quant,0.240506329113924
map,sortedbam_to_counts,0.0
map,featureCounts 2,0.0
map,fastqc 4,0.2033898305084746
map,multiqc 3,0.1285714285714285
map,merge_trimmed_SE,0.0
map,trimgaloreSE,0.203125
map,fastQCtrimmed 2,0.0
map,fastqcrim,0.2033898305084746
map,sortedbam_to_rmdup,0.0
map,sort_index_bams,0.175438596491228
map,fastqc 3,0.2033898305084746
map,fastqc 2,0.2033898305084746
map,rsem_norm,0.0
map,featureCounts,0.0
map,merge_trimmed_PE,0.0
map,trimgalorePE,0.203125
map,compare_reference_stringtie,0.0
map,hisat2,0.1708542713567838
map,sortbam,0.1513761467889908
map,starSE,0.1031941031941031
map,fetch_unique_stringtie,0.0
map,bigwig,0.0897435897435897
map,cutadapt 2,0.203125
map,cutadapt,0.203125
map,MultiQC,0.1285714285714285
map,salmon_quant_pe,0.240506329113924
map,tximeta,0.062200956937799
map,salmon_quant,0.240506329113924
map,sort_bams,0.0
map,mark_dups,0.24
map,fastp_trimming_PE,0.1761006289308175
map,samtools_bam,0.1802325581395348
map,bamindex,0.1802325581395348
map,generate_genome_star_index,1.0
map,run_star_pe,1.0
map,pass1,1.0
map,fastqc_trimmed,0.2033898305084746
map,run_multiqc,0.1285714285714285
map,sampleReads,0.0
map,pass2,1.0
fastqctrimmed,expressbam,0.0
fastqctrimmed,salmonSE,0.2911392405063291
fastqctrimmed,fastqScreen,0.1746031746031746
fastqctrimmed,run_star_se,0.2033898305084746
fastqctrimmed,fastqc,1.0
fastqctrimmed,trim_fasq_fastqc,0.0
fastqctrimmed,picard_rna_seq,0.2203389830508474
fastqctrimmed,salmon_index_extended,0.2911392405063291
fastqctrimmed,fastp_trimming_SE,0.3710691823899371
fastqctrimmed,starindex,0.0
fastqctrimmed,DRIMseq,0.0
fastqctrimmed,samtools_flagstat,0.1788990825688073
fastqctrimmed,salmon_quant_se,0.2911392405063291
fastqctrimmed,feature_counts,0.0
fastqctrimmed,RNA_SeqC,0.0
fastqctrimmed,fastqc 6,1.0
fastqctrimmed,star_genome,0.2033898305084746
fastqctrimmed,edgeR,0.0
