Process A,Process B,Similarity
map,fastqctrimmed,0.0
map,salmonSE,0.0
map,fastqScreen,0.0
map,run_star_se,1.0
map,fastqc,0.0
map,picard_rna_seq,0.0
map,salmon_index_extended,0.0
map,fastp_trimming_SE,0.0
map,samtools_flagstat,0.0
map,salmon_quant_se,0.0
map,fastqc 6,0.0
map,star_genome,1.0
map,startPE,0.5
map,fastqc 5,0.0
map,multiqc 2,0.0
map,kallistoQuant,0.0
map,salmon_index,0.0
map,samlon_quant,0.0
map,fastqc 4,0.0
map,multiqc 3,0.0
map,trimgaloreSE,0.0
map,fastqcrim,0.0
map,sort_index_bams,0.0
map,fastqc 3,0.0
map,fastqc 2,0.0
map,trimgalorePE,0.0
map,hisat2,0.0
map,starSE,0.5
map,bigwig,0.3333333333333333
map,cutadapt 2,0.0
map,cutadapt,0.0
map,MultiQC,0.0
map,salmon_quant_pe,0.0
map,tximeta,0.0
map,salmon_quant,0.0
map,sort_bams,0.0
map,mark_dups,0.0
map,fastp_trimming_PE,0.0
map,samtools_bam,0.0
map,bamindex,0.0
map,generate_genome_star_index,1.0
map,run_star_pe,1.0
map,pass1,1.0
map,fastqc_trimmed,0.0
map,run_multiqc,0.0
map,pass2,1.0
fastqctrimmed,salmonSE,0.0
fastqctrimmed,fastqScreen,0.0
fastqctrimmed,run_star_se,0.0
fastqctrimmed,fastqc,1.0
fastqctrimmed,picard_rna_seq,0.0
fastqctrimmed,salmon_index_extended,0.0
fastqctrimmed,fastp_trimming_SE,0.5
fastqctrimmed,samtools_flagstat,0.0
fastqctrimmed,salmon_quant_se,0.0
fastqctrimmed,fastqc 6,1.0
fastqctrimmed,star_genome,0.0
fastqctrimmed,startPE,0.0
fastqctrimmed,fastqc 5,1.0
fastqctrimmed,multiqc 2,0.0
fastqctrimmed,kallistoQuant,0.0
fastqctrimmed,salmon_index,0.0
fastqctrimmed,samlon_quant,0.0
fastqctrimmed,fastqc 4,1.0
fastqctrimmed,multiqc 3,0.0
fastqctrimmed,trimgaloreSE,0.0
fastqctrimmed,fastqcrim,1.0
fastqctrimmed,sort_index_bams,0.0
fastqctrimmed,fastqc 3,1.0
fastqctrimmed,fastqc 2,1.0
fastqctrimmed,trimgalorePE,0.0
fastqctrimmed,hisat2,0.0
fastqctrimmed,starSE,0.0
fastqctrimmed,bigwig,0.0
fastqctrimmed,cutadapt 2,0.0
fastqctrimmed,cutadapt,0.0
fastqctrimmed,MultiQC,0.0
fastqctrimmed,salmon_quant_pe,0.0
fastqctrimmed,tximeta,0.0
fastqctrimmed,salmon_quant,0.0
fastqctrimmed,sort_bams,0.0
fastqctrimmed,mark_dups,0.0
fastqctrimmed,fastp_trimming_PE,0.5
fastqctrimmed,samtools_bam,0.0
fastqctrimmed,bamindex,0.0
fastqctrimmed,generate_genome_star_index,0.0
fastqctrimmed,run_star_pe,0.0
fastqctrimmed,pass1,0.0
fastqctrimmed,fastqc_trimmed,1.0
fastqctrimmed,run_multiqc,0.0
fastqctrimmed,pass2,0.0
salmonSE,fastqScreen,0.0
salmonSE,run_star_se,0.0
salmonSE,fastqc,0.0
salmonSE,picard_rna_seq,0.0
salmonSE,salmon_index_extended,0.5
salmonSE,fastp_trimming_SE,0.0
salmonSE,samtools_flagstat,0.0
salmonSE,salmon_quant_se,0.5
salmonSE,fastqc 6,0.0
salmonSE,star_genome,0.0
salmonSE,startPE,0.3333333333333333
salmonSE,fastqc 5,0.0
salmonSE,multiqc 2,0.0
salmonSE,kallistoQuant,0.0
salmonSE,salmon_index,0.5
salmonSE,samlon_quant,0.5
salmonSE,fastqc 4,0.0
salmonSE,multiqc 3,0.0
salmonSE,trimgaloreSE,0.0
salmonSE,fastqcrim,0.0
salmonSE,sort_index_bams,0.0
salmonSE,fastqc 3,0.0
salmonSE,fastqc 2,0.0
salmonSE,trimgalorePE,0.0
salmonSE,hisat2,0.0
salmonSE,starSE,0.3333333333333333
salmonSE,bigwig,0.25
salmonSE,cutadapt 2,0.0
salmonSE,cutadapt,0.0
salmonSE,MultiQC,0.0
salmonSE,salmon_quant_pe,0.5
salmonSE,tximeta,0.3333333333333333
salmonSE,salmon_quant,0.5
salmonSE,sort_bams,0.0
salmonSE,mark_dups,0.0
salmonSE,fastp_trimming_PE,0.0
salmonSE,samtools_bam,0.0
salmonSE,bamindex,0.0
salmonSE,generate_genome_star_index,0.0
salmonSE,run_star_pe,0.0
salmonSE,pass1,0.0
salmonSE,fastqc_trimmed,0.0
salmonSE,run_multiqc,0.0
salmonSE,pass2,0.0
fastqScreen,run_star_se,0.0
fastqScreen,fastqc,0.0
fastqScreen,picard_rna_seq,0.0
fastqScreen,salmon_index_extended,0.0
fastqScreen,fastp_trimming_SE,0.0
fastqScreen,samtools_flagstat,0.0
fastqScreen,salmon_quant_se,0.0
fastqScreen,fastqc 6,0.0
fastqScreen,star_genome,0.0
fastqScreen,startPE,0.0
fastqScreen,fastqc 5,0.0
fastqScreen,multiqc 2,0.0
fastqScreen,kallistoQuant,0.0
fastqScreen,salmon_index,0.0
fastqScreen,samlon_quant,0.0
fastqScreen,fastqc 4,0.0
fastqScreen,multiqc 3,0.0
fastqScreen,trimgaloreSE,0.0
fastqScreen,fastqcrim,0.0
fastqScreen,sort_index_bams,0.0
fastqScreen,fastqc 3,0.0
fastqScreen,fastqc 2,0.0
fastqScreen,trimgalorePE,0.0
fastqScreen,hisat2,0.0
fastqScreen,starSE,0.0
fastqScreen,bigwig,0.0
fastqScreen,cutadapt 2,0.0
fastqScreen,cutadapt,0.0
fastqScreen,MultiQC,0.0
fastqScreen,salmon_quant_pe,0.0
fastqScreen,tximeta,0.0
fastqScreen,salmon_quant,0.0
fastqScreen,sort_bams,0.0
fastqScreen,mark_dups,0.0
fastqScreen,fastp_trimming_PE,0.0
fastqScreen,samtools_bam,0.0
fastqScreen,bamindex,0.0
fastqScreen,generate_genome_star_index,0.0
fastqScreen,run_star_pe,0.0
fastqScreen,pass1,0.0
fastqScreen,fastqc_trimmed,0.0
fastqScreen,run_multiqc,0.0
fastqScreen,pass2,0.0
run_star_se,fastqc,0.0
run_star_se,picard_rna_seq,0.0
run_star_se,salmon_index_extended,0.0
run_star_se,fastp_trimming_SE,0.0
run_star_se,samtools_flagstat,0.0
run_star_se,salmon_quant_se,0.0
run_star_se,fastqc 6,0.0
run_star_se,star_genome,1.0
run_star_se,startPE,0.5
