Pair,Similarity
"map.txt,fastqctrimmed.txt",0.16503267973856206
"map.txt,expressbam.txt",0.23392857142857137
"map.txt,salmonSE.txt",0.21544327931363205
"map.txt,fastqScreen.txt",0.15892857142857142
"map.txt,run_star_se.txt",0.2114695340501792
"map.txt,fastqc.txt",0.15384615384615385
"map.txt,trim_fasq_fastqc.txt",0.09175197991114548
"map.txt,picard_rna_seq.txt",0.18571428571428572
"map.txt,salmon_index_extended.txt",0.1761978361669243
"map.txt,fastp_trimming_SE.txt",0.19905660377358492
"map.txt,starindex.txt",0.23571428571428577
"map.txt,DRIMSeq.txt",0.19081272084805656
"map.txt,samtools_flagstat.txt",0.19285714285714284
"map.txt,salmon_quant_se.txt",0.1982507288629738
"map.txt,feature_counts.txt",0.21052631578947367
"map.txt,RNA_SeqC.txt",0.15892857142857142
"map.txt,fastqc 6.txt",0.19285714285714284
"map.txt,star_genome.txt",0.19505494505494503
"map.txt,edgeR.txt",0.196588868940754
"map.txt,startPE.txt",0.18891170431211501
"map.txt,tastq_to_bam_HISAT.txt",0.12310334955625535
"map.txt,fastqc 5.txt",0.18035714285714288
"map.txt,multiqc 2.txt",0.21964285714285714
"map.txt,kallistoQuant.txt",0.16428571428571426
"map.txt,salmon_index.txt",0.15357142857142858
"map.txt,trim_galore_pe.txt",0.15000000000000002
"map.txt,samlon_quant.txt",0.23035714285714282
"map.txt,sortedbam_to_counts.txt",0.14501199862872816
"map.txt,featureCounts 2.txt",0.16249999999999998
"map.txt,fastqc 4.txt",0.19464285714285712
"map.txt,multiqc 3.txt",0.2142857142857143
"map.txt,merge_trimmed_SE.txt",0.22142857142857142
"map.txt,trimgaloreSE.txt",0.18693009118541037
"map.txt,fastQCtrimmed 2.txt",0.20178571428571423
"map.txt,fastqcrim.txt",0.18392857142857144
"map.txt,sortedbam_to_rmdup.txt",0.19286577992744858
"map.txt,sort_index_bams.txt",0.18928571428571428
"map.txt,fastqc 3.txt",0.15000000000000002
"map.txt,fastqc 2.txt",0.23750000000000004
"map.txt,rsem_norm.txt",0.15772357723577235
"map.txt,featureCounts.txt",0.19464285714285712
"map.txt,merge_trimmed_PE.txt",0.20222929936305734
"map.txt,trimgalorePE.txt",0.2086330935251799
"map.txt,compare_reference_stringtie.txt",0.19285714285714284
